status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
86680728811_10154615757793812,"Michael Jordan: ""I have been deeply troubled by the deaths of African-Americans at the hands of law enforcement and angered by the cowardly and hateful targeting and killing of police officers.""",Michael Jordan Breaks Silence on Race-Related Police Shootings,link,http://abcn.ws/2a6tMlJ,2016-07-25 13:37:47,226,28,25,195,17,2,1,11,0
86680728811_10154615695893812,"Prince Harry says he regrets not discussing the death of his mother earlier in his life. ""I really regret not ever talking about it...it is OK to suffer, but as long as you talk about it. It is not a weakness.""",Prince Harry 'Regrets' Not Speaking About Princess Diana's Death,link,http://abcn.ws/2a6sasn,2016-07-25 13:13:41,877,41,60,708,66,2,1,100,0
86680728811_10154615643343812,"DNC chair Debbie Wasserman Schultz will no longer open Democratic Convention, one day after announcing her resignation.",DNC Chair Debbie Wasserman Schultz Won't Open Party Convention,link,http://abcn.ws/2a6phYj,2016-07-25 12:50:04,714,236,84,491,46,7,157,8,5
86680728811_10154615553243812,,ABC News Politics,video,https://www.facebook.com/ABCNewsPolitics/videos/991802750917951/,2016-07-25 12:13:20,918,170,0,785,90,5,28,4,6
86680728811_10154615550753812,"WikiLeaks leaked nearly 20,000 DNC emails showing that officials grew increasingly agitated with Bernie Sanders and his campaign, at some points even floating ideas about ways to undermine his candidacy.",The 4 Most Damaging Emails From the DNC WikiLeaks Dump,link,http://abcn.ws/2acbBbV,2016-07-25 12:12:12,1592,396,574,886,14,146,64,37,445
86680728811_10154615494448812,,ABC News Politics,video,https://www.facebook.com/ABCNewsPolitics/videos/991787910919435/,2016-07-25 11:52:04,289,76,0,267,8,1,3,0,10
86680728811_10154615473538812,Dallas police applications have tripled after 5 local law enforcement officers were killed in the line of duty by a gunman who said he was angry with police.,Dallas Police Applications up 344% Since Deadly Cop Shootings,link,http://abcn.ws/2as23eI,2016-07-25 11:43:27,3670,117,370,3147,338,171,4,5,6
86680728811_10154615322468812,"The #DemConvention gets underway in just a few hours, and ABC News' Mary Bruce is LIVE at Zavino in Philadelphia talking with a Bernie Sanders delegate about the decisions and the drama ahead:",,video,https://www.facebook.com/ABCNews/videos/10154615322468812/,2016-07-25 11:14:17,644,385,85,553,50,1,8,6,26
86680728811_10154615383328812,"Michael Jordan speaks out: ""I have been deeply troubled by the deaths of African-Americans at the hands of law enforcement and angered by the cowardly and hateful targeting and killing of police officers.""",Michael Jordan: 'I Can No Longer Stay Silent',link,http://abcn.ws/2a6ahtt,2016-07-25 11:10:43,17737,826,4474,15304,1205,101,22,1059,47
86680728811_10154615358258812,14-year-old and 18-year-old identified as victims in deadly shooting outside Florida club. Police have not determined a motive but said this was not an act of terrorism.,2 Victims Identified in Florida Club Shooting,link,http://abcn.ws/2al3NUs,2016-07-25 11:01:26,720,98,134,287,1,10,2,357,63
86680728811_10154615302628812,One woman died and another was severely injured after a tiger attacked them when they exited their vehicle while at a Beijing animal park.,Woman Killed by Tiger After Exiting Her Vehicle at Beijing Animal Park,link,http://abcn.ws/2a64LXY,2016-07-25 10:38:11,2368,616,902,1048,12,744,46,476,42
86680728811_10154615255653812,,This Week,video,https://www.facebook.com/ThisWeekABC/videos/1138325116210929/,2016-07-25 10:15:07,475,101,0,436,21,3,12,2,1
86680728811_10154615254243812,JUST IN: NFL determines that Peyton Manning did not use HGH or any other prohibited substances after 7-month investigation.,NFL Finds Peyton Manning Didn't Use HGH,link,http://abcn.ws/2abX6VK,2016-07-25 10:14:10,4597,190,580,4169,374,9,37,0,8
86680728811_10154615232348812,George Stephanopoulos has everything you need to know about the first day of the DNC. abcn.ws/2aqqJkU,What You Need to Know About DNC Day 1,video,https://www.facebook.com/ABCNews/videos/10154615232348812/,2016-07-25 10:03:14,166,177,16,131,6,0,17,2,10
86680728811_10154615133788812,,ABC News Politics,video,https://www.facebook.com/ABCNewsPolitics/videos/991677747597118/,2016-07-25 09:26:02,461,122,0,435,7,1,12,0,6
86680728811_10154615123158812,Self-driving trucks can save the lives of the dozens of road workers who are killed each year by providing a crash cushion and barrier. http://abcn.ws/2arEzqj,Self-Driving Trucks: Automation That Can Save Lives on the Road,video,https://www.facebook.com/ABCNews/videos/10154615123158812/,2016-07-25 09:21:30,144,16,44,122,5,16,0,0,1
86680728811_10154615077493812,"Debbie Wasserman Schultz booed at Florida delegation breakfast, one day after announcing she would resign as DNC chair after Wikileaks scandal. http://abcn.ws/2akOgnI",Debbie Wasserman Schultz Booed at Chaotic Florida Delegation B...,video,https://www.facebook.com/ABCNews/videos/10154615077493812/,2016-07-25 09:00:45,1728,577,358,1038,70,32,526,20,42
86680728811_10154615020948812,"Two people were killed and as many as 16 others were injured after a person opened fire during an event geared toward teenagers at Club Blu in Fort Myers, Florida.","2 Dead, Up to 16 Injured at Teen Nightclub Event in Florida",link,http://abcn.ws/2a4iD11,2016-07-25 08:32:38,649,93,262,262,0,28,0,261,98
86680728811_10154614969598812,"Donald J. Trump has climbed 6% points after the RNC, garnering his highest support against Hillary Clinton since last September.",POLL: Trump Climbs 6 Points in One Week After RNC,link,http://abcn.ws/2abFERk,2016-07-25 08:09:12,3596,564,245,2687,367,40,60,67,376
86680728811_10154614858668812,"The heat wave that's descended on the Philadelphia area could peak Monday, with temperatures possibly hitting triple digits.","As Democratic Convention Begins, Excessive Heat Settles In",link,http://abcn.ws/2aqsG3A,2016-07-25 07:27:59,298,164,53,233,6,30,23,3,3
86680728811_10154614812203812,,Good Morning America,video,https://www.facebook.com/GoodMorningAmerica/videos/10153774373297061/,2016-07-25 07:10:56,7697,1077,0,2887,20,2373,80,2214,123
86680728811_10154614798288812,"Football players gather on the University of Nebraska-Lincoln campus for vigil in honor of punter Sam Foltz, who was killed in a car crash after working a kicking clinic in Wisconsin. http://abcn.ws/2ajyp93","Crash Kills Nebraska Punter, Former Michigan State Punter",video,https://www.facebook.com/ABCNews/videos/10154614798288812/,2016-07-25 07:07:00,1584,26,97,804,53,2,1,725,0
86680728811_10154614727348812,Here's one way to kick off the Democratic National Convention in Philadelphia—these two DNCC staffers just got engaged! http://abcn.ws/29TKNOJ,DNC Staffer Proposes in Philly ahead of Democratic Convention,video,https://www.facebook.com/ABCNews/videos/10154614727348812/,2016-07-25 06:28:35,1079,144,36,930,119,4,22,1,3
86680728811_10154614638398812,"University of Florida football player Cristian Garcia says ""God put me in the right place at the right time"" to stop alleged sexual assault of young woman behind bar where he works.","'God Put Me in Right Place,' Says Linebacker Who Stopped Alleged Sexual Assault",link,http://abcn.ws/2aEtRct,2016-07-25 05:30:17,3145,89,135,2873,211,52,2,5,2
86680728811_10154614565323812,"Craftsman bungalow that was once the home of Walt Disney temporarily saved from demolition ""so the property's history can be fully evaluated.""","Walt Disney's California Home Saved From Demolition, For Now",link,http://abcn.ws/2aEvA1i,2016-07-25 04:30:04,594,14,68,541,33,17,0,3,0
86680728811_10154614480503812,"About 1,500 people gathered outside a Munich shopping center to light candles and place flowers in tribute to the 9 people killed by a teenage gunman. ""It is so different when you see it on TV and when you see it (in) real life here."" http://abcn.ws/2aqKyvq",Vigil Held Outside Munich Mall Where Gunman Killed 9 People,video,https://www.facebook.com/ABCNews/videos/10154614480503812/,2016-07-25 03:31:40,6263,98,417,3584,199,19,4,2424,33
86680728811_10154614403138812,Scientists believe this is the same wolverine that eight years ago became the first one documented in California's Sierra Nevada mountains since the 1920s.,Scientists Capture Rare Images of Wolverine in Sierra Nevada,link,http://abcn.ws/2aotjIo,2016-07-25 02:34:04,2020,63,242,1789,80,150,0,1,0
86680728811_10154614356948812,Four killed in crash between a bus carrying Dallas Cowboys staff and a van on an Arizona highway.,4 Dead After Dallas Cowboys Bus Collides with Van,link,http://abcn.ws/2ajT6Bw,2016-07-25 01:57:57,2825,173,1180,1052,9,372,3,1381,8
86680728811_10154614313438812,"Soon after making his first appearance as Hillary Clinton's running mate, Tim Kaine walked through the doors of the Virginia church he's been part of for more than 30 years to applause so loud it could be heard from outside.","Dem VP Candidate Tim Kaine Heads to Church, Sings in Choir",link,http://abcn.ws/29XYd7Y,2016-07-25 01:35:07,4149,320,241,3634,419,25,55,4,12
86680728811_10154614273168812,"Pope Francis' advocacy for refugee rights will face a diplomatic test as he begins a five-day visit to Poland, where a populist government has slammed the door on most asylum-seekers.",Francis and Poland Differ on Migrants Ahead of Pope's Visit,link,http://abcn.ws/29YmcnG,2016-07-25 01:08:26,163,40,28,146,10,1,3,3,0
86680728811_10154614240983812,"NEW: Image shows what appears to be part of the device used in  Ansbach, Germany attack that injured at least 12. The man who set off an explosive device, killing himself, was a Syrian who had been denied asylum, German officials say. http://abcn.ws/2aaYfwA",Timeline Photos,photo,https://www.facebook.com/ABCNews/photos/a.10150095914943812.286215.86680728811/10154614240983812/?type=3,2016-07-25 00:44:35,232,33,51,143,1,25,1,48,14
86680728811_10154614174833812,"For first time in its 36-year history, a Hemingway has won Key West's Ernest Hemingway look-alike contest. Meet this year's winner: Dave Hemingway (no relation). ""Even though this sweater is really hot, it was part of my strategy, and it turned out well."" http://abcn.ws/2a4ASau",Hemingway (No Relation) Wins Look-Alike Contest in Key West,video,https://www.facebook.com/ABCNews/videos/10154614174833812/,2016-07-25 00:10:50,852,23,69,798,23,5,25,1,0
86680728811_10154614139908812,"Video shows DNC Chair Debbie Wasserman Schultz checking out the stage at the Democratic National Convention on Sunday night. Earlier in the day, Schultz announced plans to resign at the end of the convention amid the release of internal DNC emails by Wikileaks. http://abcn.ws/2ajLdMF",Wasserman Schultz Visits DNC Stage on Eve of Convention,video,https://www.facebook.com/ABCNews/videos/10154614139908812/,2016-07-24 23:51:15,614,379,78,344,8,16,91,12,143
86680728811_10154614122193812,"Hillary Clinton's campaign manager says Donald J. Trump pushing for ""pro-Russian"" platform, cites experts who say Russian state actors were behind leak of Democratic National Committee emails.",Clinton Campaign Chief Suggests Russians May Be Trying to Help Trump,link,http://abcn.ws/29U7x15,2016-07-24 23:42:03,1381,1020,282,781,21,61,365,10,143
86680728811_10154614064408812,"Video shows aftermath of massive wildfire that's already gutted at least 18 homes north of L.A. and is threatening thousands more. ""For this time of year, it's the most extreme fire behavior I've seen in my 32-year career,"" Los Angeles County Fire Department chief says. http://abcn.ws/2aqIbZw",'Like a Freight Train': California Wildfire Guts 18 Homes,video,https://www.facebook.com/ABCNews/videos/10154614064408812/,2016-07-24 23:09:35,1374,53,326,523,2,165,1,679,4
86680728811_10154613996473812,"28 people hospitalized after bus, tractor-trailer truck collide outside Philadelphia. Two pedestrians who were struck listed in critical condition. http://abcn.ws/2aoYgfk","28 Injured in Crash Involving Bus, Jeep and Tractor-Trailer",video,https://www.facebook.com/ABCNews/videos/10154613996473812/,2016-07-24 22:45:40,847,21,199,403,2,158,0,280,4
86680728811_10154613938453812,"Pilot expected to be OK after crashing small plane into Connecticut man's home. ""I ran outside, and my neighbor hollered to me, 'There's a plane on your roof.'"" http://abcn.ws/29YbPjF","Small Plane Crashes into Home, Misses Man Watching TV",video,https://www.facebook.com/ABCNews/videos/10154613938453812/,2016-07-24 22:17:49,1265,46,329,721,4,461,7,73,0
86680728811_10154613879503812,"Hillary Clinton says Republicans have created a ""Hillary standard"" that has contributed to the negative impression many people have of her.",Clinton Says Republicans Have Created a 'Hillary Standard',link,http://abcn.ws/2aqnNYn,2016-07-24 21:50:08,4634,1960,641,3278,191,51,968,39,107
86680728811_10154613824673812,Dallas Cowboys spokesman says passengers on a team-owned bus escaped serious injury in deadly Arizona highway crash.,Dallas Cowboys Bus Involved in Fatal Crash in Arizona,link,http://abcn.ws/2ajtzZs,2016-07-24 21:24:08,1256,105,558,659,7,231,0,357,2
86680728811_10154613800828812,"Dramatic video shows intense conditions firefighters are facing on the front lines of the battle against the 30,000-acre wildfire burning north of Los Angeles. The so-called ""Sand Fire"" has already destroyed at least 18 homes and is threatening thousands more. http://abcn.ws/29U55rB","Los Angeles County Fire Stretches Across 22,000 Acres, Accordi...",video,https://www.facebook.com/ABCNews/videos/10154613800828812/,2016-07-24 21:10:08,3078,157,1080,1433,8,583,1,1048,5
86680728811_10154613761748812,University of Nebraska-Lincoln punter Sam Foltz and former Michigan State University punter Mike Sadler killed in car crash after working at kicking clinic in Wisconsin.,"Crash Kills Nebraska Punter, Former Michigan State Punter",link,http://abcn.ws/2aoAkIZ,2016-07-24 20:51:41,3209,147,344,680,10,133,3,2380,3
86680728811_10154613719498812,"JUST IN: Video shows German concert goers evacuating music festival after explosion nearby injures at least 12 people. One person reported dead, a 27-year-old Syrian who officials say was recently denied asylum, is the man authorities believe responsible for the blast. http://abcn.ws/2aoLuNU","At Least 10 Injured, Suspect Believed Killed in Explosion in G...",video,https://www.facebook.com/ABCNews/videos/10154613719498812/,2016-07-24 20:28:08,3586,282,1313,1330,7,456,4,1443,346
