status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
8358247707_10154384975747708,"If they've stopped doing the little things you fell in love with, something ISN'T right:",12 Tiny Relationship Problems That Are Actually Major Red Flags,link,http://csmo.us/PkRCGj6,2016-07-25 13:30:14,33,1,4,30,1,0,0,2,0
8358247707_10154384910437708,45 teeny tiny baby animals you'll want to put in your pocket and keep forever ❤️ http://csmo.us/IejH0EH,Timeline Photos,photo,https://www.facebook.com/Cosmopolitan/photos/a.466145602707.256721.8358247707/10154384910437708/?type=3,2016-07-25 13:00:58,1440,98,93,1230,197,1,12,0,0
8358247707_10154384854782708,This footage is absolutely terrifying.,A Woman Was Mauled to Death By a Tiger When She Tried to Save Her Daughter,link,http://csmo.us/AzUFaN6,2016-07-25 12:30:32,139,50,31,80,2,23,2,31,1
8358247707_10154384640182708,These pets are all of us right now,When It's Hot AF Outside,video,https://www.facebook.com/Cosmopolitan/videos/10154384640182708/,2016-07-25 12:15:00,771,60,139,648,59,1,63,0,0
8358247707_10154384668437708,This completed Pokédex is what Pokemon-Go dreams are made of 🙌,The World's First Pokémon Trainer to Catch 'Em All Reveals His Poké-Hunting Secrets,link,http://www.cosmopolitan.com/lifestyle/news/a61707/completed-pokemon-go-pokedex/,2016-07-25 12:00:00,95,17,18,89,4,0,1,1,0
8358247707_10154384644697708,Kylie Jenner might have just seriously shaded Taylor Swift on Snapchat:,Kylie Jenner's Response to the Taylor Swift and Kim Kardashian Drama Is Everything,link,http://www.cosmopolitan.com/entertainment/celebs/news/a61777/kylie-jenner-taylor-swift-shade-snapchat/,2016-07-25 11:30:00,401,38,11,354,10,2,30,0,5
8358247707_10154384576097708,Exactly what you need to create Zendaya's flawless sultry eye look  ✨,Zendaya Makeup Tutorial,video,https://www.facebook.com/Cosmopolitan/videos/10154384576097708/,2016-07-25 11:15:00,191,13,23,181,4,0,5,0,1
8358247707_10154384631007708,Starbucks dress code guidelines are expanding in a really cool way <3,Starbucks Just Made Huge Changes to Its Employee Dress Code,link,http://csmo.us/f7LI8CL,2016-07-25 11:00:55,1139,107,179,1038,91,8,2,0,0
8358247707_10154384572372708,He was like family. Then the unthinkable happened.,My Daughter's Boyfriend Killed Her — And I Forgave Him,link,http://csmo.us/Xmngdss,2016-07-25 10:30:06,141,23,12,85,4,4,0,46,2
8358247707_10154384547477708,"Watch people try SPAM for the first time EVER, cooked by Food Network star Sunny Anderson. Drop your questions below!",,video,https://www.facebook.com/Cosmopolitan/videos/10154384547477708/,2016-07-25 10:22:32,722,192,44,623,74,11,12,1,1
8358247707_10154384499322708,"""I'm going to be free.""",Terminal 14-Year-Old Posts Final Good-Byes on Facebook Before Ending Her Life,link,http://csmo.us/sruhUHB,2016-07-25 10:00:35,1640,36,122,743,126,10,3,755,3
8358247707_10154384435882708,"BEHOLD! Here's who your favorite Disney princesses would be if they were cast in Kanye West's ""Famous"" music video: http://csmo.us/izoK6eY",Timeline Photos,photo,https://www.facebook.com/Cosmopolitan/photos/a.466145602707.256721.8358247707/10154384435882708/?type=3,2016-07-25 09:32:27,224,33,15,175,3,3,25,1,17
8358247707_10154384326147708,"The attack reportedly occurred at a ""Swimsuit Glow Party"" for teens.","2 Killed, At Least 17 Wounded on Teen Night at Club Shooting in Florida",link,http://csmo.us/RfHTrcm,2016-07-25 09:00:15,86,4,13,47,0,2,0,25,12
8358247707_10154384236582708,Mermaid goals 👏,Cosmo Beauty & Style,video,https://www.facebook.com/CosmoBeauty/videos/605248166303475/,2016-07-25 08:45:00,735,109,0,659,37,9,25,1,4
8358247707_10154384273312708,"A local news anchor from Atlanta, Georgia has died in an apparent freak accident.",Local News Anchor Falls Over a Waterfall and Dies a Day Before Her 25th Birthday,link,http://csmo.us/GeBw5Wn,2016-07-25 08:30:21,137,6,7,74,2,6,0,55,0
8358247707_10154384208552708,Tom Hiddleston basically confirms what he has with Taylor Swift is TRUE LOVE,Tom Hiddleston Claps Back at People Who Still Think His Relationship with Taylor Swift is Fake,link,http://csmo.us/Dp3lFVQ,2016-07-25 08:00:23,442,35,8,364,19,3,48,2,6
8358247707_10154384164652708,"Christina Grimmie was signing autographs after a show in Orlando, Florida last month when a man approached and started shooting at her.",Christina Grimmie's Autopsy Report Reveals Her Official Cause of Death,link,http://csmo.us/KWzcr7k,2016-07-25 07:42:44,659,28,22,448,7,2,1,198,3
8358247707_10154384065482708,A YouTube user recreated your favorite Taylor Swift songs using Kim Kardashian West and Kanye West in the lyrics 😂,These Kimye Feud Versions of Taylor Swift Songs Are Hilarious,link,http://csmo.us/CNIbHAN,2016-07-25 07:00:26,109,3,2,99,0,0,7,0,3
8358247707_10154383811827708,Donald J. Trump says Fox News's former CEO actually HELPED the women who claim he sexually assaulted them.,"Donald Trump Calls Former Fox News CEO Roger Ailes a ""Very Good Person""",link,http://csmo.us/HOWpvsa,2016-07-25 05:00:57,129,21,11,80,0,6,9,0,34
8358247707_10154383725262708,"the beach is all fun and games UNTIL...

[from BeigeCardigan]",Timeline Photos,photo,https://www.facebook.com/Cosmopolitan/photos/a.466145602707.256721.8358247707/10154383725262708/?type=3,2016-07-25 04:00:31,2154,384,181,1862,24,3,265,0,0
8358247707_10154383629142708,Kylie Jenner and Hailey Baldwin's pool floaty game is 💯,Celebrities Wearing Bikinis!,link,http://csmo.us/co4GQ6y,2016-07-25 03:00:20,211,10,2,206,5,0,0,0,0
