status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
106843036179_10154429171131180,The controversy started after Ashley Graham posted a pic where she looked less curvaceous than normal.,Ashley Graham Fires Back at Internet Trolls Who Shamed Her for Allegedly Losing Weight,link,http://www.etonline.com/news/193819_ashley_graham_fires_back_at_internet_trolls_who_shammed_her_for_allegedly_losing_weight/,2016-07-21 22:30:00,131,17,7,125,3,0,0,0,3
106843036179_10154429241826180,"Sarah Hyland's new look is perfect for summer.
 
From Fishwrapper.","'Modern Family' Star Sarah Hyland Debuts Short, Blonde Locks -- See the Pic",link,http://bit.ly/2az1En0,2016-07-21 21:30:00,92,3,0,90,1,0,1,0,0
106843036179_10154429198246180,It's a bird! It's a plane! It's our #ETComicCon photo booth!,Entertainment Tonight,photo,https://www.facebook.com/EntertainmentTonight/photos/a.10154428593301180.1073741838.106843036179/10154429034166180/?type=3,2016-07-21 20:30:00,83,3,0,76,2,4,1,0,0
106843036179_10154428952321180,Kristen Stewart doesn't mind paparazzi snapping PDA pics if it helps others with accepting their sexuality.,Kristen Stewart is 'Done Hiding' Her Relationships,link,http://www.etonline.com/news/193797_kristen_stewart_is_done_hiding_her_relationships/,2016-07-21 19:30:00,1369,46,49,1281,62,17,6,2,1
106843036179_10154428948806180,Jordan Rodgers' brother seemingly let out a big secret in his latest interview.,Did 'Bachelorette' Star Jordan Rodgers' Brother Luke Accidentally Reveal Who Wins JoJo Fletcher's Heart?,link,http://www.etonline.com/news/193807_did_jordan_rodgers_brother_luke_accidentally_reveal_bachelorette_season_12_winner/,2016-07-21 18:30:01,412,51,57,384,10,1,12,2,3
106843036179_10154429110291180,"The Mr. Robot cast dropped by, and they have a lot to say about Season 2!",,video,https://www.facebook.com/EntertainmentTonight/videos/10154429110291180/,2016-07-21 17:36:44,631,74,31,563,55,10,2,1,0
106843036179_10154429066816180,"The Fear the Walking Dead cast is here, and they're teasing what we can expect when the show returns!",,video,https://www.facebook.com/EntertainmentTonight/videos/10154429066816180/,2016-07-21 17:18:30,664,96,61,559,86,5,10,1,3
106843036179_10154429005696180,Look who's here! We're chatting with the cast of The Rocky Horror Picture Show at Comic-Con.,,video,https://www.facebook.com/EntertainmentTonight/videos/10154429005696180/,2016-07-21 16:43:00,514,54,37,468,36,5,2,2,1
106843036179_10154428654006180,The Bachelorette fans are in for some serious drama!,"EXCLUSIVE: 'The Bachelorette: Men Tell All' Special Will Include Tears, Drama and the Return of Chad Johnson!",link,http://www.etonline.com/tv/193785_bachelorette_men_tell_all_special_features_tears_drama_and_return_of_chad_johnson/,2016-07-21 16:10:41,89,8,5,87,1,0,1,0,0
106843036179_10154428900591180,"We're playing ""Top That"" with Nerve stars Emma Roberts and Dave Franco!",,video,https://www.facebook.com/EntertainmentTonight/videos/10154428900591180/,2016-07-21 15:54:56,864,92,23,750,94,7,12,0,2
106843036179_10154428853956180,We're hanging out with The Good Place's Ted Danson and Kristen Bell. Join the fun!,,video,https://www.facebook.com/EntertainmentTonight/videos/10154428853956180/,2016-07-21 15:41:15,721,114,18,644,68,2,5,1,1
106843036179_10154428652806180,John Stamos and his girlfriend aren't shying away from PDA.,John Stamos Can't Keep His Hands Off Girlfriend Caitlin McHugh -- See the Cute Pics!,link,http://www.etonline.com/news/193781_john_stamos_can_t_keep_his_hands_off_girlfriend_caitlin_mchugh/,2016-07-21 14:21:36,1565,23,27,1499,47,13,2,3,1
106843036179_10154428481616180,We're LIVE from Comic-Con with the cast of Marvel's Luke Cage!,LIVE With the Cast of Marvel's Luke Cage,video,https://www.facebook.com/EntertainmentTonight/videos/10154428481616180/,2016-07-21 12:57:06,660,75,51,611,36,7,1,2,3
106843036179_10154428351851180,Crystal Hefner has no problem showing some skin.,Crystal Hefner Shares Racy Bikini Pic After Removing Her Breast Implants,link,http://www.etonline.com/news/193759_crystal_hefner_posts_a_racy_bikini_pic_after_removing_her_breast_implants/,2016-07-21 12:01:02,281,10,9,272,4,3,1,1,0
106843036179_10154428088176180,Taylor Swift had a surprisingly prophetic fear of being secretly recorded.,Taylor Swift Was Paranoid About Being Secretly Recorded Long Before Kimye Feud,link,http://www.etonline.com/news/193740_taylor_swift_was_paranoid_about_being_secretly_recorded_long_before_kimye_feud/,2016-07-21 11:00:00,392,39,8,359,4,9,18,1,1
106843036179_10154428067066180,"Keep up the good work, Rob Kardashian!",Rob Kardashian Reveals Weight Loss in Rare Full Body Photo,link,http://www.etonline.com/news/193758_rob_kardashian_reveals_weight_loss_rare_full_body_photo/,2016-07-21 10:02:00,2905,114,43,2771,100,25,7,1,1
