status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
84169421673_10153660758556674,This is awesome.,Cosmopolitan,video,https://www.facebook.com/Cosmopolitan/videos/10154376771412708/,2016-07-22 22:00:00,86,2,0,70,11,1,4,0,0
84169421673_10153661152761674,"If you don't know, now you know.",Here's How to Roll a Joint Perfectly. Every Time,link,http://esqr.co/o9BLdHD,2016-07-22 21:00:35,35,4,13,30,0,0,5,0,0
84169421673_10153661055971674,"It's not just Victoria's Secret, either",An Anonymous Retoucher Reveals the Crazy Way Victoria's Secret Models Are Allegedly Altered,link,http://esqr.co/S8Nwr6J,2016-07-22 20:00:13,36,3,1,36,0,0,0,0,0
84169421673_10153660999856674,"Ok, now you can have a good weekend.",BREAKING: Hillary Clinton Has Picked Tim Kaine as Her Running Mate,link,http://esqr.co/95nyoaE,2016-07-22 19:35:23,200,32,11,179,12,2,4,0,3
84169421673_10153660931986674,Happy Friday.,20 Beautiful Photos of Bar Refaeli,link,http://esqr.co/qwWYB5S,2016-07-22 19:00:42,29,2,2,28,0,1,0,0,0
84169421673_10153660889481674,"David Bowie remixes, Noah Baumbach soundtracks, and LCD b-sides.",Here Are the James Murphy Deep Cuts That Will Make You Fall in Love With LCD Soundsystem Again,link,http://esqr.co/NqV2X9d,2016-07-22 18:30:22,32,1,8,30,1,1,0,0,0
84169421673_10153660851486674,Reality television at its finest.,This New Dating Show Where Strangers Make Out Looks Amazingly Awkward,link,http://esqr.co/NyhThFa,2016-07-22 18:00:24,30,1,1,22,0,3,5,0,0
84169421673_10153660803056674,Time for that #FridayDance.,Friday Dance: Clerks,video,https://www.facebook.com/Esquire/videos/10153660803056674/,2016-07-22 17:30:49,701,11,233,645,26,0,29,1,0
84169421673_10153660752026674,"Aw, isn't he cu...OH GOD, NO!","What to Do When Your Adorable, Loving Dog Sh*ts All Over the Place",link,http://esqr.co/O1JSaSj,2016-07-22 17:00:16,11,1,2,11,0,0,0,0,0
84169421673_10153660716781674,"Don't you dare adjust your socks, girl.",15 Pieces of Old Sex Advice That Are Truly Ridiculous,link,http://esqr.co/3GHmcvo,2016-07-22 16:35:07,24,2,7,19,0,2,2,0,1
84169421673_10153660672671674,Cool? Yes. Possible? Eh.,12 Movie Sex Maneuvers That Would Not Work In Real Life,link,http://esqr.co/eyQDS58,2016-07-22 16:05:03,162,5,23,140,2,1,19,0,0
84169421673_10153660622151674,Guess which one is a member of the Mile High Club?,Margot Robbie and Cara Delevigne Reveal the Craziest Places They've Ever Had Sex,link,http://esqr.co/yhRsLgQ,2016-07-22 15:38:04,223,8,15,210,7,4,2,0,0
84169421673_10153660552936674,"6 people are dead in what is being called ""suspected terrorism.""",What We Know About the Munich Mall Shooting Right Now,link,http://esqr.co/1lvd9uP,2016-07-22 15:01:36,81,17,15,50,0,1,0,14,16
84169421673_10153660528256674,Turns out it takes an ass kicking to kick ass.,How Matt Damon Got Into 'Jason Bourne' Shape—for the Fourth Time,link,http://esqr.co/AbAh7rD,2016-07-22 14:45:07,197,7,9,191,4,1,1,0,0
84169421673_10153660479356674,Praise the sneaker gawds.,Don't Miss Out on the 9 Coolest Sneakers of the Week,link,http://esqr.co/mJrQdPz,2016-07-22 14:15:05,27,1,0,27,0,0,0,0,0
84169421673_10153660394376674,One look at these dudes and you know you're in for a treat.,What I Learned from These Two Guys Outside the RNC,link,http://esqr.co/bI7Mk6v,2016-07-22 13:45:02,29,16,1,23,0,1,5,0,0
84169421673_10153660331346674,F*ck yes.,Finally a Marvel Show Where Luke Cage Beats the Sh*t Out of Guys to ODB's 'Shimmy Shimmy Ya',link,http://esqr.co/Kmh0uRc,2016-07-22 13:20:06,964,28,191,927,30,5,2,0,0
84169421673_10153660277086674,This much.,Just How Much Did Donald Trump Lie During His Big RNC Speech?,link,http://esqr.co/72QsGHU,2016-07-22 12:54:42,177,55,71,144,3,0,24,3,3
84169421673_10153660185871674,"Ask a Clean Person: Jolie Kerr solves any and all (seriously, any) of your clean-up questions.",,video,https://www.facebook.com/Esquire/videos/10153660185871674/,2016-07-22 12:03:04,161,26,8,145,13,2,0,0,1
84169421673_10153660114306674,"What it's like standing shoulder-to-shoulder with an army of angry, mostly white people.",There Was a Dark Energy on the Convention Center Floor Last Night,link,http://esqr.co/ooaKVrf,2016-07-22 11:15:17,60,28,11,40,0,6,1,12,1
84169421673_10153660106386674,,Esquire Politics,link,http://www.esquire.com/news-politics/politics/news/a46942/donald-trump-fear/,2016-07-22 11:10:10,193,39,0,152,2,3,3,12,21
84169421673_10153660076551674,"""""He's going to break the record for the most African-Americans to ever vote for a Republican president in the history of the United States. And Latinos""",What Trump's Diversity Coordinator Told Me on the Floor Last Night,link,http://esqr.co/Nlo6y2C,2016-07-22 10:50:04,133,40,12,47,3,5,77,1,1
