status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
15704546335_10154466491371336,What was your favorite moment of the 2016 Republican National Convention?,,video,https://www.facebook.com/FoxNews/videos/10154466491371336/,2016-07-22 23:00:00,585,525,50,510,63,4,2,0,6
15704546335_10154466586196336,"""He's created this narrative, and he just has to live in it.""

Dr. Sebastian Gorka responded to President Obama saying the world has never been more prosperous or peaceful.",Gorka on Obama Saying the World's Never Been Better: 'He's in The Matrix',link,http://insider.foxnews.com/2016/07/22/gorka-obama-saying-worlds-never-been-better-hes-matrix,2016-07-22 22:30:00,3112,533,1564,2279,46,69,455,27,236
15704546335_10154466564391336,"More than 2,000 people packed the church where Mayor Holden and others eulogized Matthew Gerald, the first of three Baton Rouge officers slain by a lone gunman to be laid to rest.","Respect Police, Baton Rouge Mayor Says at Officer's Funeral",link,http://www.foxnews.com/us/2016/07/22/respect-police-baton-rouge-mayor-says-at-officers-funeral.html,2016-07-22 21:39:43,5164,147,343,4116,261,3,2,777,5
15704546335_10154466464526336,"""Donald J. Trump is going to show respect for the law enforcement officers so they don't wear targets on their back.""

Mike Huckabee said Republicans are saying to the American people, ""you want to stand with the cops or ... stand with the crooks?""",,video,https://www.facebook.com/FoxNews/videos/10154466464526336/,2016-07-22 20:38:34,8063,544,928,7494,503,17,42,2,6
15704546335_10154466355201336,"""Terrorism's a contagion, and now we're starting to see it break out like the bubonic plague all over Europe.""

Bill O'Reilly reacted to today's attack in Munich, Germany, saying the common thread among all the terrorists is ""they don't value their own lives, so therefore don't value anyone else's.""",,video,https://www.facebook.com/FoxNews/videos/10154466355201336/,2016-07-22 19:57:44,3588,499,702,2475,15,29,4,597,469
15704546335_10154466243916336,Breaking News: Hillary Clinton picks U.S. Senator Tim Kaine as her running mate on the Democratic presidential ticket. http://fxn.ws/2afbPhC,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154466243916336/?type=3,2016-07-22 19:12:50,3617,3564,1740,1206,78,49,1855,35,394
15704546335_10154466218566336,"Breaking News: Police in Munich, Germany say the gunman who opened fire at a popular shopping mall took his own life, and there is a ""high probability"" that he acted alone. Authorities say that 10 people are dead, including the shooter, and at least 10 others are injured.",Suspected Lone Gunman Among 10 Dead In Shooting Spree at Munich Shopping Center,link,http://www.foxnews.com/world/2016/07/22/suspected-lone-gunman-among-10-dead-10-injured-in-shooting-spree-at-munich-shopping-center.html,2016-07-22 18:58:10,653,219,260,250,4,9,1,221,168
15704546335_10154465460791336,"""The murder rate today...is far lower than it was when Ronald Reagan was president.""   

President Obama discussed the violent crime rate in America during a news conference today.",,video,https://www.facebook.com/FoxNews/videos/10154465460791336/,2016-07-22 18:18:58,9891,12642,4126,2236,66,264,3657,82,3586
15704546335_10154465989901336,"Donald J. Trump released a statement on the attack at a mall in Munich, Germany, saying ""this cannot continue.""",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154465989901336/?type=3,2016-07-22 17:15:00,20536,903,2642,19259,928,18,16,287,29
15704546335_10154465958536336,Live: Hillary Clinton holds a rally for supporters in Tampa.,,video,https://www.facebook.com/FoxNews/videos/10154465958536336/,2016-07-22 16:46:33,15626,43490,2116,2981,985,127,764,256,10513
