status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
155869377766434_1446808352005857,3 teams and their players were fined for protesting gun violence.,'I Refuse to Be Silent': WNBA Stars Bristle at Fines,link,http://nbcnews.to/2ah21oI,2016-07-22 23:15:04,316,91,42,224,30,3,10,2,47
155869377766434_1446774088675950,"""I never thought I would say these words, but Ted Cruz was right.""

 Hillary Clinton responds to Cruz being booed at RNC.

Read more: http://nbcnews.to/29R8aZb","Hillary Clinton Defends Cruz's ""Conscience"" Moment",video,https://www.facebook.com/NBCNews/videos/1446774088675950/,2016-07-22 22:35:15,2164,518,178,1740,176,8,167,5,68
155869377766434_1446731022013590,"Leslie Van Houten, now 66, was the youngest follower of cult leader Charles Manson.",California Governor Denies Parole for Ex-Manson Follower,link,http://nbcnews.to/29UKZZx,2016-07-22 21:44:22,3261,373,394,2960,153,83,44,12,9
155869377766434_1446699678683391,"The order gave more than 200,000 convicted felons the right to vote.",Virginia Supreme Court Strikes Down Order Allowing Felons to Vote,link,http://nbcnews.to/2a6IF6b,2016-07-22 21:00:15,1190,308,257,800,55,73,31,30,201
155869377766434_1446623335357692,"Hillary Clinton has finally revealed her pick for veep: Sen. Tim Kaine.

Learn more about him: http://nbcnews.to/29dz20W",Tim Kaine Is Hillary Clinton's Running Mate,video,https://www.facebook.com/NBCNews/videos/1446623335357692/,2016-07-22 20:15:00,2890,559,265,2399,271,16,123,19,62
155869377766434_1446624815357544,Here's what you need to know about Hillary Clinton's VP pick.,Fast Facts: Who Is Tim Kaine?,link,http://nbcnews.to/2a2GkrL,2016-07-22 19:45:06,2464,541,434,2057,239,15,51,16,86
155869377766434_1446605685359457,"BREAKING: Hillary Clinton selects Virginia Senator Tim Kaine as her running mate.

Full coverage: http://nbcnews.to/29ZDm5U",Timeline Photos,photo,https://www.facebook.com/NBCNews/photos/a.162132393806799.30950.155869377766434/1446605685359457/?type=3,2016-07-22 19:14:25,4490,887,808,3764,385,33,185,26,97
155869377766434_1446579032028789,"""The last thing we need is somebody running for president who talks trash about America,"" Hillary Clinton said of Donald J. Trump.",Clinton: We Don't Need Candidates Who 'Talk Trash About America',link,http://nbcnews.to/29R8aZb,2016-07-22 18:33:58,6289,2102,500,5208,611,23,122,7,318
155869377766434_1446554672031225,"""The terrifying vision that Donald J. Trump is putting forward casts him alongside some of the worst fascists in history.""",Black Lives Matter Responds to Trump's 'Dog Whistle' Speech,link,http://nbcnews.to/29R6uPH,2016-07-22 18:00:45,2403,1295,449,1720,20,50,91,115,407
155869377766434_1446498592036833,"Donald J. Trump: ""As your president, I will do everything in my power to protect our LGBTQ citizens from the violence and oppression of a hateful foreign ideology.""",LGBTQ Community Gets Unprecedented Recognition at RNC,link,http://nbcnews.to/2aeAWkM,2016-07-22 16:20:10,2120,1154,470,1411,117,41,467,11,73
155869377766434_1446450402041652,"What did Bernie Sanders think about Donald J. Trump's speech last night at the RNC?

Let's just say he was not impressed...

Watch more: http://nbcnews.to/2a3tnv3",,video,https://www.facebook.com/NBCNews/videos/1446450402041652/,2016-07-22 16:00:00,1763,720,400,1238,108,14,364,4,35
155869377766434_1446467385373287,"WATCH: An eyewitness video appears to show Munich gunman opening fire.

Read more: http://nbcnews.to/29SOrF9",,video,https://www.facebook.com/NBCNews/videos/1446467385373287/,2016-07-22 15:20:18,1440,224,432,470,3,283,5,474,205
155869377766434_1446330492053643,It's a good day to be Jeff Bezos.,Amazon's Jeff Bezos Is Now Richer than Warren Buffett,link,http://nbcnews.to/29ZkeZE,2016-07-22 12:35:10,293,62,49,250,3,31,8,1,0
155869377766434_1446321982054494,"A lone 18-year-old gunman is believed to have carried out a shooting rampage near a shopping center in Munich, Germany.","Death Toll in Munich Massacre Rises to 9, Gunman Killed Self",link,http://nbcnews.to/29YYdGo,2016-07-22 12:25:59,786,189,383,338,0,21,2,277,148
155869377766434_1446316758721683,JUST IN: Footage shows people fleeing site of mall shooting in Munich. Read more: http://nbcnews.to/29YYdGo,People flee Munich mall,video,https://www.facebook.com/NBCNews/videos/1446316758721683/,2016-07-22 12:21:57,3859,354,1355,1557,8,201,8,1362,723
155869377766434_1446310522055640,"""What makes me different is I also demand respect for the rights and the heritage of European Americans,"" Duke said in a video announcing his candidacy.",Former KKK Leader David Duke Announces Senate Run,link,http://nbcnews.to/29SkyES,2016-07-22 12:10:07,4161,1696,2939,1039,40,284,851,137,1810
155869377766434_1446244175395608,"Balloons! Confetti! Experience the grand finale of the RNC as if you were on the floor. 

More: http://nbcnews.to/2anwvmK",RNC day 4 360,video,https://www.facebook.com/NBCNews/videos/1446244175395608/,2016-07-22 11:30:00,115,94,12,77,11,0,5,2,20
155869377766434_1446251985394827,"Colleagues and friends mourn the death of Congressman Mark Takai on social media after the 49-year-old lost his battle with pancreatic cancer. 

Read more: http://nbcnews.to/2acVl9z",,video,https://www.facebook.com/NBCNews/videos/1446251985394827/,2016-07-22 11:30:00,962,49,38,387,6,16,1,551,1
155869377766434_1446255128727846,"The Funai Corporation of Japan said it would stop making them due to the ""difficulty acquiring parts.""",World's Last Remaining VCR Company to Cease Production This Month,link,http://nbcnews.to/29Z8Ux0,2016-07-22 11:00:35,959,90,645,639,4,104,21,188,3
155869377766434_1446220472064645,"When Bill Clinton spoke at the 1988 DNC, he went on for a full 33 minutes and drew cheers when he said ""in closing.""",Convention Speeches That Made an Impact,link,http://nbcnews.to/29TsRPJ,2016-07-22 10:29:00,856,233,37,736,67,6,40,0,7
155869377766434_1446197355400290,Castile's driving records show that he had received 82 non-parking citations — 47 of which were eventually dismissed.,"Philando Castile, Cop Who Killed Him Crossed Paths Before",link,http://nbcnews.to/2ae41wy,2016-07-22 10:00:25,1055,619,237,505,7,142,7,90,304
155869377766434_1446163048737054,"The widow of Luciano Pavarotti, the world's most recognized opera singer, has a message for Donald J. Trump — stop using my husband's song.",Pavarotti's Widow Tells Trump to Cut It Out,link,http://nbcnews.to/2alNadS,2016-07-22 09:30:25,15967,1580,3246,12383,1235,160,2014,37,139
