status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10643211755_10154604103496756,A group of brewers producing about 80 percent of all the beer sold in the U.S. have agreed to new labeling standards.,Beer Bottles Will Soon Include A Reality Check: A Calorie Count,link,http://www.npr.org/sections/thesalt/2016/07/21/486758216/beer-bottles-will-soon-include-a-reality-check-a-calorie-count?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20160721,2016-07-21 23:10:00,384,40,55,347,13,3,8,12,1
10643211755_10154604086491756,"Novelist Mat Johnson says the nation's unresolved racial legacy, our love of guns and our method of policing have put the country on a fatal and disastrous path.",'I'm Petrified For My Children': Will Racism And Guns Lead To America's Ruin?,link,http://www.npr.org/sections/codeswitch/2016/07/21/486688683/im-petrified-for-my-children-will-racism-and-guns-lead-to-americas-ruin?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20160721,2016-07-21 22:04:00,1655,83,329,1176,31,8,4,422,14
10643211755_10154604593636756,"NPR Politics adds context, analysis and checks facts in Trump's Thursday night address to the Republican National Convention.","FACT CHECK: Donald Trump's Republican Convention Speech, Annotated",link,http://www.npr.org/2016/07/21/486883610/fact-check-donald-trumps-republican-convention-speech-annotated?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20160721,2016-07-21 21:34:32,3941,559,3106,3442,105,33,296,22,43
10643211755_10154604075341756,"In a weeklong festival, refugee chefs teamed up with their French counterparts to serve up feasts that fuse their culinary traditions.","In Paris, Where Food Is King, Refugee Chefs Show What They Have To Offer",link,http://www.npr.org/sections/thesalt/2016/07/10/485242939/in-paris-where-food-is-king-refugee-chefs-show-what-they-have-to-offer?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20160721,2016-07-21 21:03:00,510,5,54,466,42,2,0,0,0
10643211755_10154604063586756,Can a field biologist who hunts and an animal activist who doesn't have a productive conversation about hunting?,Healthy Meat And Clean Kills: Can We Talk About Hunting?,link,http://www.npr.org/sections/13.7/2016/07/21/486887596/healthy-meat-and-clean-kills-can-we-talk-about-hunting?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20160721,2016-07-21 20:58:00,265,48,47,248,10,5,0,1,1
10643211755_10154604463481756,"Watch Ivanka and Donald Trump close out the Republican National Convention in Cleveland, with the senior Trump accepting the party's nomination and making his case to be president.",,video,https://www.facebook.com/NPR/videos/10154604463481756/,2016-07-21 20:46:07,2865,15865,130,668,165,68,177,312,1475
10643211755_10154604475251756,"""I am proud to be gay. I am proud to be a Republican. But most of all, I am proud to be an American.""","'I Am Proud To Be Gay,' Tech Investor Peter Thiel Tells GOP Convention",link,http://www.npr.org/2016/07/21/486966882/i-am-proud-to-be-gay-tech-investor-peter-thiel-tells-gop-convention?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20160721,2016-07-21 20:34:50,1319,499,143,826,32,60,229,27,145
10643211755_10154604448411756,"Donald Trump promised to protect the country from foreign and domestic threats by putting ""America First"" as he formally accepted the GOP nomination for president.","Painting A Grim Picture Of America, Trump Says 'Safety Will Be Restored' If He Wins",link,http://www.npr.org/2016/07/21/486940891/trump-to-promise-safety-will-be-restored-as-he-accepts-gop-nomination?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20160721,2016-07-21 20:17:24,551,361,33,146,9,12,213,87,84
10643211755_10154604039226756,"""When I listen to my songs, I hear the sound of immigration, and of women tying to find new forms. I hear the influence of the melting pot, of people groping toward a peaceful coexistence in multicultural society.""",Do Everything Yourself: The Lessons Of Punk Renaissance Woman Vivien Goldman,link,http://www.npr.org/sections/therecord/2016/07/21/486885368/do-everything-yourself-the-lessons-of-punk-renaissance-woman-vivien-goldman?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20160721,2016-07-21 19:52:00,97,4,19,88,8,1,0,0,0
10643211755_10154604264976756,"Watch the final night Republican Convention live with NPR and PBS NewsHour. Donald Trump accepts the party's nomination tonight and makes his case to be the nation's next president.

Scheduled speakers include: Brock Mealer, Marsha Blackburn, Mary Fallin, Lisa Shin, Reince Priebus, Peter Thiel, Tom Barrack, Ivanka Trump and Donald Trump.",,video,https://www.facebook.com/NPR/videos/10154604264976756/,2016-07-21 19:00:05,1019,8218,85,355,65,40,140,86,333
