status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
60342206410_10154306085226411,The science behind the fifth taste.,Put The Science Of Umami To Work For You,link,http://bit.ly/2a0vIME,2016-07-22 23:05:12,42,2,7,42,0,0,0,0,0
60342206410_10154305223991411,The robot maker took its Atlas robot out for a walk in the woods,Watch The Boston Dynamics Robot Take A Surreal Hike In The Woods,link,http://www.popsci.com/boston-dynamics-robot-surreal-hike-in-woods,2016-07-22 22:00:01,40,2,8,36,0,1,1,2,0
60342206410_10154305870146411,Show me the honey!,Birds And Humans 'Talk' To Each Other To Outsmart Bees,link,http://bit.ly/2afjNrm,2016-07-22 21:05:05,40,1,4,39,0,1,0,0,0
60342206410_10154304932941411,These images are mind-blowing,"A Sea-Slug-Powered Robot, Zuckerberg's A.I. Toaster, And Other Amazing Images",link,http://www.popsci.com/slugbot-an-ai-toaster-and-other-amazing-images-week?src=SOC&dom=fb,2016-07-22 19:00:00,47,0,4,45,0,2,0,0,0
60342206410_10154305087756411,A strange plan to save humanity from extinction involves resurrecting the woolly mammoth,Zombie Mammoths To The Rescue,link,http://www.popsci.com/zombie-mammoths-to-rescue?src=SOC&dom=fb,2016-07-22 17:00:00,166,5,35,156,3,7,0,0,0
60342206410_10154305000391411,The results are...shocking,Watch Super-Powerful Electromagnets Shrink Quarters,link,http://www.popsci.com/watch-super-powerful-electromagnets-shrink-quarters?src=SOC&dom=fb,2016-07-22 16:30:00,129,1,25,126,0,3,0,0,0
60342206410_10154304997151411,It will be available for Netflix customers worldwide—except those in the U.S. and Canada,"Netflix Will Stream Every 'Star Trek' Series, Including The New One",link,http://www.popsci.com/netflix-will-stream-new-star-trek-series-worldwide?src=SOC&dom=fb,2016-07-22 16:00:00,517,31,84,420,24,6,2,9,56
60342206410_10154304992216411,"360 camera, smart baseball bats, and more",The Hit List For July 2016,link,http://www.popsci.com/hit-list-for-july-2016?src=SOC&dom=fb,2016-07-22 15:30:00,51,0,2,51,0,0,0,0,0
60342206410_10154304984891411,It maps over 1.2 million galaxies,Largest Map Ever Made Will Unlock The History Of The Universe,link,http://www.popsci.com/scientists-created-enormous-map-to-understand-history-universe?src=SOC&dom=fb,2016-07-22 15:00:00,487,9,82,435,20,32,0,0,0
60342206410_10154304980666411,"The ""Go"" in Pokémon Go isn't mandatory",Pokémon Go's Best Hacks And Cheats,link,http://www.popsci.com/pokemon-gos-best-hacks-and-cheats?src=SOC&dom=fb,2016-07-22 14:30:01,127,29,54,121,0,3,2,0,1
60342206410_10154305024706411,"That's one big gulp for man, one small gulp for drone kind",Watch The First Slurpee Delivery By Drone,link,http://www.popsci.com/watch-first-slurpee-delivery-by-drone?src=SOC&dom=fb,2016-07-22 14:00:01,122,9,23,102,7,3,9,1,0
60342206410_10154304874006411,Which Star Trek captain is your favorite?,Debate: Who Was The Best Captain In Star Trek?,link,http://www.popsci.com/debate-who-was-best-captain-in-star-trek?src=SOC&dom=fb,2016-07-22 13:30:00,328,419,47,310,11,5,1,0,1
60342206410_10154305051476411,"It's a lot more complicated than ""by being sticky"" (via SciShow)",SciShow,video,https://www.facebook.com/SciShow/videos/947941185237908/,2016-07-22 13:25:42,30,1,0,29,1,0,0,0,0
60342206410_10154304960016411,Fluorescent spinach drinks could someday be in the arsenal of methods for doctors to examine the gut,Glowing Green Juice Could Change How We Examine Intestines,link,http://www.popsci.com/glowing-green-juice-could-change-how-we-examine-intestines?src=SOC&dom=fb,2016-07-22 13:00:00,124,4,13,113,3,6,2,0,0
60342206410_10154304894346411,"Scientists know dark matter exists, but they've yet to observe it directly",Update: Dark Matter's Mysteries Remain Elusive,link,http://www.popsci.com/update-dark-matters-mysteries-remain-elusive?src=SOC&dom=fb,2016-07-22 12:30:00,278,10,33,270,1,4,3,0,0
60342206410_10154304868911411,"If rumors are true, we won't see the Apple Car for at least five years",Apple Delays Secretive Car Project,link,http://www.popsci.com/apple-delays-secretive-auto-project?src=SOC&dom=fb,2016-07-22 12:02:00,189,2,21,185,0,2,0,1,1
60342206410_10154304854961411,American special forces may be entering the pickup truck era of warfare,American Military Will Test Toyota Trucks For War,link,http://www.popsci.com/american-military-will-test-toyota-trucks-for-war?src=SOC&dom=fb,2016-07-22 11:42:59,493,107,93,438,5,13,33,1,3
60342206410_10154304785026411,The rover can now autonomously decide which rocks to zap with its onboard laser,The Mars Curiosity Rover Is Starting To Make Its Own Decisions,link,http://www.popsci.com/mars-curiosity-rover-make-own-decisions?src=SOC&dom=fb,2016-07-22 11:03:36,961,13,109,900,25,33,3,0,0
60342206410_10154304715496411,The pens North Korea is building now are for much larger submarines,North Korea Is Building Bigger Pens For Its Submarines,link,http://www.popsci.com/north-korea-is-building-bigger-submarine-pens?src=SOC&dom=fb,2016-07-22 10:31:18,180,22,14,159,4,9,3,2,3
60342206410_10154304631121411,"Elon Musk's new master plan for Tesla is so simple and so, so complicated",Tesla's New 4-Item To-Do List,link,http://www.popsci.com/teslas-new-plan-is-so-simple-and-so-so-complicated?src=SOC&dom=fb,2016-07-22 10:08:13,69,1,12,68,0,1,0,0,0
60342206410_10154304574946411,Conan had to be 3D-scanned to make his Mega Host suit,Conan O'Brien Becomes A Superhero For Comic-Con,link,http://www.popsci.com/see-conans-superhero-sized-transformation?src=SOC&dom=fb,2016-07-22 09:38:44,599,9,41,513,13,1,72,0,0
60342206410_10154304514931411,Some of the most commonplace technology today was inspired by Star Trek,6 'Star Trek' Technologies That Exist Today,link,http://www.popsci.com/6-techs-seen-on-star-trek-available-today?src=SOC&dom=fb,2016-07-22 09:01:25,177,5,49,169,5,3,0,0,0
60342206410_10154304467226411,She was on her way to a wedding on Los Angeles,Homeland Security Demands Access To Journalist's Phone,link,http://www.popsci.com/homeland-security-tries-to-get-into-journalists-phone?src=SOC&dom=fb,2016-07-22 08:33:44,266,17,39,181,1,22,2,5,55
60342206410_10154303060421411,"He giving her all she's got, Captain!","Star Trek's Simon Pegg: A Fanboy Grows Up, Takes Scotty's Chair, And Rethinks The Federation",link,http://www.popsci.com/star-treks-simon-pegg-fanboy-grows-up-takes-scottys-chair-and-rethinks-federation?src=SOC&dom=fb,2016-07-22 08:00:00,214,11,20,200,12,0,2,0,0
60342206410_10154304311341411,"It's notoriously difficult to direct cancer drugs to only the cells you want to target, but it may have just gotten easier",Drugs Disguised As Blood Cells Could Kill Cancer,link,http://bit.ly/29Ylit2,2016-07-22 07:05:08,726,10,131,667,22,33,2,2,0
60342206410_10154303057441411,I can see my house (and the rest of Earth)!,Watch One Year Of Earth From A Million Miles Away,link,http://www.popsci.com/one-year-earth-from-million-miles-away?src=SOC&dom=fb,2016-07-22 06:00:00,107,2,17,103,4,0,0,0,0
60342206410_10154304117286411,"The journey to Mars, told in GIFs",How Lockheed Martin Plans To Set Up A Base Camp In Mars' Orbit,link,http://bit.ly/29Y672N,2016-07-22 05:05:17,193,5,39,185,5,3,0,0,0
60342206410_10154303975981411,It's like fishing in the top two feet of the Mariana Trench,Most Of The Web Is Invisible To Google. Here's What It Contains,link,http://bit.ly/29Y9V8t,2016-07-22 03:05:07,681,20,171,627,6,41,4,2,1
