status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
208421665712_10157383636050713,PayPal founder Peter Thiel was Proud & Loud at the #RNC and the reaction was surprising.,"Peter Thiel -- I'm Proud to Be Gay, Proud to be a Republican",link,http://tmz.me/92Fvict,2016-07-21 20:53:51,1260,201,101,995,77,33,134,7,14
208421665712_10157383188745713,Basketball Wives Jackie does WHAT to NBA's Doug Christie?!,NBA's Doug Christie -- Wife Checks His Testes ... To See If He's Cheating (VIDEO),link,http://tmz.me/ltJjLFP,2016-07-21 19:00:10,411,235,53,254,1,36,115,1,4
208421665712_10157383130355713,"In the midst of a heated divorce from Johnny Depp, Amber Heard is spending time with Tesla billionaire Elon Musk?!",Amber Heard -- Hangin' a Lot with Elon Musk,link,http://tmz.me/iJiA9GO,2016-07-21 18:44:37,820,511,67,495,8,74,222,4,17
208421665712_10157383067370713,Jay Mohr files for DIVORCE from Nikki Cox but they both say they're very married!?,Jay Mohr -- Files for Divorce from Nikki Cox,link,http://tmz.me/W1Jrsf8,2016-07-21 18:26:02,287,124,20,243,1,25,11,7,0
208421665712_10157382884945713,The NBA says goodbye to North Carolina.,NBA -- How's This for a Bathroom Break? We Won't Play All-Star Game in Charlotte,link,http://tmz.me/9U1qAUa,2016-07-21 17:31:10,661,87,107,547,51,10,30,2,21
208421665712_10157382023685713,Eva Longoria Baston had a major wardrobe malfunction on the beach in #Ibiza!,Eva No Au Naturel,video,https://www.facebook.com/TMZ/videos/10157382023685713/,2016-07-21 17:30:00,191,27,12,163,8,2,17,0,1
208421665712_10157382739880713,"Harvey's talking Donald J. Trump, Leslie Jones, Justin Bieber, and Eva Longoria Baston!",BS with Harvey!,video,https://www.facebook.com/TMZ/videos/10157382739880713/,2016-07-21 17:13:32,1468,1409,69,1009,231,62,53,14,99
208421665712_10157382481020713,"Single and flying solo, but which dating app is Iggy Azalea using after Nick Young?",Iggy Azalea -- Reservation for 1 ... and Loving It! (VIDEO),link,http://tmz.me/oP4G9Jy,2016-07-21 15:30:25,87,14,2,77,6,0,4,0,0
208421665712_10157382451680713,"Ted Cruz may not have endorsed Donald J. Trump, but he'll be watching him.",Ted Cruz -- I'll Be Watching Trump Tonight  (VIDEO),link,http://tmz.me/tgnT6bu,2016-07-21 15:23:14,164,83,10,132,1,1,15,0,15
208421665712_10157382447470713,Could you soon see Iggy Azalea on Tinder???,Iggy Azalea -- Reservation for 1 ... and Loving It! (VIDEO),link,http://tmz.me/OHIqvPY,2016-07-21 15:21:49,131,17,5,123,1,2,5,0,0
208421665712_10157382404950713,"Expecting a Vegas Triple Threat of Celine Dion, Jennifer Lopez, and Britney Spears? Don't.","Celine Dion -- I'd Work with J Lo and Britney, BUT ... (VIDEO)",link,http://tmz.me/RCQnbdZ,2016-07-21 15:09:09,567,50,31,519,23,19,4,0,2
208421665712_10157382261600713,There's a very lucky towel boy helping ex Victoria's Secret model Doutzen Kroes!,Model Doutzen Kroes -- Adds Dutch Treat to Ultimate Model Party (PHOTO GALLERY),link,http://tmz.me/CBMTwWN,2016-07-21 14:34:36,253,17,7,244,8,0,1,0,0
208421665712_10157382239635713,Aaron Hernandez is hoping Casey Anthony's attorney gets him off for murder as well.,Aaron Hernandez -- First Court Date With Casey Anthony's Lawyer (PHOTO),link,http://tmz.me/epOLXfo,2016-07-21 14:27:56,2592,281,374,1693,25,282,468,12,112
208421665712_10157382066010713,Ray Rice has a BIG proposition for the NFL.,Ray Rice -- I'd Donate ENTIRE Salary to Charity ... If NFL Team Signs Me,link,http://tmz.me/sVGzMyP,2016-07-21 13:51:57,2114,331,357,1786,46,103,159,11,9
208421665712_10157382018210713,Cole Hauser better start practicing his blow.,"'2 Fast 2 Furious' Actor Cole Hauser -- No Blow, No Go ... After Plea Deal in DUI Case",link,http://tmz.me/x6yk7q1,2016-07-21 13:35:17,55,9,3,49,1,2,0,3,0
