status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
9034820804_10153926746220805,Cherry's owners say he is the sweetest family dog anyone could hope for after being rescued from Michael Vick's dog fighting ring. Click to watch how BarkPost helped give him a very special day!,Vicktory Dog Now Loves Snuggling With Kittens,link,http://www.usmagazine.com/celebrity-news/news/pit-bull-from-michael-vicks-dog-fighting-ring-now-snuggles-with-kittens-w430548,2016-07-22 22:00:21,510,9,37,394,112,0,0,4,0
9034820804_10153925760590805,"Cute new Prince George pics (it's his birthday!), a The Bachelor alum is engaged, plus an RNC style breakdown — get the latest with Us Weekly Video's Kim Rittberg and Senior Reporter Travis Cronin!","Prince George Pics, Bachelor Engagement",video,https://www.facebook.com/UsWeekly/videos/10153925760590805/,2016-07-22 12:43:15,461,125,12,397,59,3,2,0,0
9034820804_10153925150320805,"Happy Birthday, George! Duchess Kate and Prince William released new photos of their son, Prince George, in honor of his big day. How cute is he?!",Cutest Pics Yet! Prince George Swings Into His 3rd Birthday,link,http://www.usmagazine.com/celebrity-news/news/prince-george-swings-into-3rd-birthday-with-new-photos-w430416,2016-07-22 07:27:33,4748,95,108,4349,391,4,4,0,0
9034820804_10153923631400805,"Time for a weekend getaway! These are the 5 beauty products our experts say you can't live without on vacation — including ""Bum Bum Cream""?!",5 Faves: Vacation Must-Haves,video,https://www.facebook.com/UsWeekly/videos/10153923631400805/,2016-07-21 15:29:31,422,91,23,380,35,2,5,0,0
9034820804_10153923214020805,"Lots of drama at the RNC, a The Bachelorette fantasy suite bombshell, Kendall Jenner's new fling and more! Get the scoop with Us Weekly Video's Kim Rittberg and Senior Reporter Travis Cronin.","RNC Drama, Bachelorette Bombshell",video,https://www.facebook.com/UsWeekly/videos/10153923214020805/,2016-07-21 11:49:22,380,192,14,331,26,6,9,1,7
9034820804_10153923139270805,,Us Weekly Video,video,https://www.facebook.com/UsWeeklyVideo/videos/1761970410682777/,2016-07-21 11:04:07,136,20,0,126,1,2,0,0,7
9034820804_10153922027475805,The Twitterverse had some questions about Laura Ingraham's gesture at the end of her speech.,Did Laura Ingraham Just Make a Nazi Salute During the RNC?,link,http://www.usmagazine.com/celebrity-news/news/laura-ingraham-accused-of-making-nazi-salute-during-rnc-w430193,2016-07-20 22:45:00,1546,3850,460,703,23,99,375,25,321
9034820804_10153920906000805,"Us Weekly Video's Christina Garibaldi, Entertainment Director Ian Drew and Assistant Editor Jamie Blynn dish on Miranda Kerr's engagement, Blac Chyna's baby gender reveal, and more!","Miranda Kerr Engaged, Blac Chyna Baby Gender",video,https://www.facebook.com/UsWeekly/videos/10153920906000805/,2016-07-20 12:32:32,386,75,17,343,28,3,7,2,3
9034820804_10153919773810805,Lady Gaga has spoken out about her split from fiance Taylor Kinney.,Lady Gaga: Taylor Kinney and I Are 'Taking a Break',link,http://www.usmagazine.com/celebrity-news/news/lady-gaga-speaks-out-about-taylor-kinney-split-w429936,2016-07-20 00:13:32,1557,72,47,1228,50,17,4,257,1
9034820804_10153919635155805,Happy Days creator Garry Marshall has died at the age of 81.,"Garry Marshall, 'Pretty Woman' Director, Dies at 81",link,http://www.usmagazine.com/entertainment/news/garry-marshall-dead-pretty-woman-director-was-81-w429931,2016-07-19 22:21:42,4533,161,1001,1741,29,135,2,2623,3
9034820804_10153918619760805,"Lady Gaga and Taylor Kinney split, Melania Trump¹s RNC speech controversy, and more — watch as Us Weekly Video's Christina Garibaldi and Entertainment Director Ian Drew discuss all.","Gaga & Taylor Split, Melania's RNC Speech",video,https://www.facebook.com/UsWeekly/videos/10153918619760805/,2016-07-19 12:29:19,444,153,31,337,22,17,7,49,12
