status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
228735667216_10153782009602217,"Bernie Sanders is booed by supporters after urging them to support Hillary Clinton's bid for the presidency.

Follow coverage of the #DemsInPhilly: http://bbc.in/2anHaQH",Sanders booed,video,https://www.facebook.com/bbcnews/videos/10153782009602217/,2016-07-25 13:34:42,320,134,36,196,5,6,55,49,9
228735667216_10153781905997217,So that's what the snitch looks like!,Aussies win Quidditch World Cup,link,http://bbc.in/2al2Xr0,2016-07-25 12:53:34,687,76,88,587,14,2,84,1,0
228735667216_10153781806102217,Here's why Verizon  were willing to part with $4.83bn (£3.7bn) to buy Yahoo.,The end of Yahoo: Why Verizon spent big,link,http://bbc.in/2akRkAg,2016-07-25 12:24:07,839,53,99,751,5,41,8,32,2
228735667216_10153781713862217,You should see the length of its strings.,Giant miner puppet begins 130-mile journey,link,http://bbc.in/29Znjn0,2016-07-25 11:47:14,709,38,69,678,12,16,3,0,0
228735667216_10153781662492217,"""Old nappy box you will use.""",Star Wars action figure photos are Comic-Con winner,link,http://bbc.in/2akJmqP,2016-07-25 11:14:24,910,40,39,887,20,2,1,0,0
228735667216_10153781569732217,"We're #LIVE in Philadelphia at the Democratic National Convention. #BernieSanders supporters are holding a rally, expressing their dissatisfaction with Hillary Clinton. Share your questions and comments with the BBC's Rajini Vaidyanathan.",,video,https://www.facebook.com/bbcnews/videos/10153781569732217/,2016-07-25 10:41:18,3882,1413,239,3427,234,32,111,19,59
228735667216_10153781528932217,"The victims had been at an event advertised as a ""Big Mansion Pool Party"" at a ""Posh Location in the Hills"".",Man killed and two people injured in Surrey pool party shooting,link,http://bbc.in/2arNs31,2016-07-25 10:10:15,2261,209,268,1685,19,187,4,316,51
228735667216_10153781483452217,"Ten people have been killed and dozens more injured in separate gun, bomb, axe and machete attacks.

Do these incidents herald a new era of insecurity?",Germany attacks: What is going on?,link,http://bbc.in/2a4rtf5,2016-07-25 09:48:37,4182,806,555,2595,7,33,8,1092,447
228735667216_10153781391002217,WARNING - THIS VIDEO DISCUSSES TOPICS SOME VIEWERS MAY FIND DISTRESSING. We were live discussing the practice of #FGM. Tulip Mazumdar was joined by anti-FGM campaigner Hibo Wardere answering your questions. #FacebookLive,,video,https://www.facebook.com/bbcnews/videos/10153781391002217/,2016-07-25 09:10:25,4409,908,266,3872,232,40,23,153,89
228735667216_10153781368577217,It's taken three years to construct!,Durham Cathedral Lego project completed,link,http://bbc.in/2akEnXj,2016-07-25 08:46:53,6324,271,606,5759,215,349,1,0,0
228735667216_10153781332982217,"We are live at 15:00BST Tulip Mazumdar will speak with Hibo Wardere about #FGM. If you have any questions about this practice, put them in the comments section below #FBlive",,status,,2016-07-25 08:34:23,203,28,10,202,0,1,0,0,0
228735667216_10153781290852217,"The UN says it is ""alarming and shameful"" that more Afghan children have been killed or maimed this year than in any six-month period since 2009.","Shameful rise in Afghan child deaths and injuries, UN says",link,http://bbc.in/2a5zswg,2016-07-25 08:13:55,2086,166,187,1400,5,6,2,514,159
228735667216_10153781241012217,More than $10m (£7.6m) had been budgeted to provide state-of-the-art facilities for the Hausa language film industry.,Nigeria shelves plans for 'Kannywood' film village,link,http://bbc.in/2apTAG9,2016-07-25 07:43:11,555,43,35,543,4,1,6,1,0
228735667216_10153781186622217,How to be the boss - let Lily Cole's CEO secrets be your #Mondaymotivation.,BBC Business News,video,https://www.facebook.com/bbcbusiness/videos/10153837850253129/,2016-07-25 07:07:25,544,43,0,524,10,1,9,0,0
228735667216_10153781141062217,"Sir Philip Green and others who ""got rich"" from BHS are blamed for the retailer's collapse in what MPs call the ""unacceptable face of capitalism"".","Sir Philip Green left BHS on 'life support', MPs find",link,http://bbc.in/2aFipNu,2016-07-25 06:41:11,1037,314,91,810,1,9,3,21,193
228735667216_10153781100312217,What did Xian Guolin do wrong? Open a noodle shop too close to existing ones in Shanghai. This is the story of #BeefNoodleGate,Got beef? How one man faced down a 'noodle cartel',link,http://bbc.in/2a3Y9Ft,2016-07-25 06:14:36,1125,45,55,1078,6,21,18,1,1
228735667216_10153781071827217,"Syreeta Gary's daughter was at the club and at one point ""dodging bullets and running, dropping between cars.""",Florida nightclub shooting: Two dead and 16 injured in Fort Myers,link,http://bbc.in/2a5qRKc,2016-07-25 05:47:59,1378,131,419,780,3,30,0,400,165
228735667216_10153781027617217,Twenty years ago Damien vanished on a night out in Cowes on the Isle of Wight. BBC Three reporters have spent months reinvestigating the case.,Damien Nettles: The boy who disappeared,link,http://bbc.in/29YXNhS,2016-07-25 05:11:48,1568,101,115,1378,6,31,2,149,2
