status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
52150999700_10154447114114701,HODOR! Kristian Nairn is in control at #EWComicCon! 👏,"Instagram video by Entertainment Weekly • Jul 22, 2016 at 8:21pm UTC",video,https://www.instagram.com/p/BILU2jxh5oH/,2016-07-22 23:40:00,45,2,1,41,2,0,2,0,0
52150999700_10154446263794701,"The Archer cast ""swears"" season 8 will be the best one YET. 😱🙏",'Archer' cast says season 8 is 'sexiest' yet,link,http://www.ew.com/article/2016/07/22/comic-con-archer,2016-07-22 23:01:00,112,4,9,102,8,1,1,0,0
52150999700_10154446935714701,"Cam is finally going to get married, Bones fans! http://share.ew.com/2gZmZIt",'Bones' EP reveals how long Zack will be on the final season,video,https://www.facebook.com/entertainmentweekly/videos/10154446935714701/,2016-07-22 22:40:00,290,1,35,260,30,0,0,0,0
52150999700_10154445831879701,"Whoa! America's Next Top Model's Tyra Banks taps Rita Ora as new host, reveals new judging panel:
http://share.ew.com/XxBqpBP","'ANTM's Tyra Banks taps Rita Ora as new host, reveals new judg...",video,https://www.facebook.com/entertainmentweekly/videos/10154445831879701/,2016-07-22 22:19:00,29,6,3,24,0,2,0,2,1
52150999700_10154446310564701,"Arrested Development fans, watch out for a LEGO Bluth family reunion! 😱❤️",Will Arnett teases 'Arrested Development' reunion in 'LEGO Batman',link,http://www.ew.com/article/2016/07/22/comic-con-2016-lego-batman-will-arnett,2016-07-22 22:00:00,143,2,5,133,7,0,3,0,0
52150999700_10154447092414701,"Lets clone the series to keep it from ending, Orphan Black fans! http://share.ew.com/8pIJzZG",Orphan Black bosses tease where final season picks up,video,https://www.facebook.com/entertainmentweekly/videos/10154447092414701/,2016-07-22 21:45:00,166,3,12,147,19,0,0,0,0
52150999700_10154447125919701,The filmmakers kept the The Blair Witch Project sequel a secret for three years! 😱,Exclusive: Secret 'Blair Witch' sequel gets new trailer & September release date,link,http://www.ew.com/article/2016/07/22/blair-witch-project-sequel-secret-comic-con,2016-07-22 21:38:29,1336,157,753,1109,65,153,9,1,0
52150999700_10154447056024701,"The Battle Backs are HERE, Big Brother fans! 👊",'Big Brother' recap: Who reigned victorious after five rounds of competition?,link,http://www.ew.com/recap/big-brother-season-18-episode-15,2016-07-22 21:25:01,50,7,1,49,1,0,0,0,0
52150999700_10154446899929701,The cast of  iZombie exposes the bloody brains of last season at #EWComicCon! http://share.ew.com/vUEXJKO,Guess which 'iZombie' star wants to eat John Stamos' brains,video,https://www.facebook.com/entertainmentweekly/videos/10154446899929701/,2016-07-22 21:15:00,165,8,18,147,15,2,1,0,0
52150999700_10154447054009701,"This is ADORABLE, Game of Thrones fans! 😊",'Game of Thrones' cast members pose with Funko dolls at Comic-Con,link,http://www.ew.com/article/2016/07/22/game-thrones-cast-pose-funko-dolls-comic-con,2016-07-22 21:03:00,867,20,79,782,69,11,5,0,0
52150999700_10154446543699701,We had a blast with the Teen Wolf cast today!  😄,Comic-Con 2016: 'Teen Wolf' cast at EW's Con-X,link,http://www.ew.com/article/2016/07/22/comic-con-teen-wolf-cast-conx?333,2016-07-22 20:47:00,732,4,20,676,53,1,0,2,0
52150999700_10154447005504701,"Scream Queens, it's time to make room for the scream kings! #EWComicCon http://share.ew.com/8z8qVeg",Scream Queens cast teases 3-year time jump,video,https://www.facebook.com/entertainmentweekly/videos/10154447005504701/,2016-07-22 20:36:00,103,3,13,89,14,0,0,0,0
52150999700_10154447021714701,"Clone Club, you HAVE to see this hilarious Orphan Black blooper reel from #SDCC! 😂",'Orphan Black' season 4 blooper reel is full of laughs (and clones),link,http://www.ew.com/article/2016/07/22/comic-con-orphan-black-blooper-reel,2016-07-22 20:25:12,201,8,29,166,16,0,19,0,0
