status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
18468761129_303361873341300,Jon Stewart returned to TV to talk about Donald Trump and conservative media.,Jon Stewart Took Over The Late Show | HuffPost NowThis,video,https://www.facebook.com/HuffingtonPost/videos/303361873341300/,2016-07-22 15:45:00,240,6,21,184,45,1,11,0,0
18468761129_10154082189446130,UPDATE: Eight dead in Munich attack.,The Huffington Post,link,http://huff.to/2aiLeQH,2016-07-22 15:31:55,174,18,0,33,0,6,0,110,25
18468761129_10154082123176130,Rape is rape. Murder is murder.,A Woman Was Raped And Murdered. Why Is Her Drink Count Relevant?,link,http://huff.to/2ahxM2t,2016-07-22 15:00:07,3390,228,487,1417,8,29,0,390,1546
18468761129_303340596676761,"It's not just you -- there's a reason it's harder to sleep during and after menopause, says Els van der Helm Sleep Consulting.",Why It's Harder To Sleep During Menopause,video,https://www.facebook.com/HuffingtonPost/videos/303340596676761/,2016-07-22 14:45:00,37,5,19,30,1,0,0,3,3
18468761129_10154082058011130,"Our hearts weep for you, Munich.",Timeline Photos,photo,https://www.facebook.com/HuffingtonPost/photos/a.443444786129.234228.18468761129/10154082058011130/?type=3,2016-07-22 14:33:18,5659,155,1330,3782,230,7,1,1618,21
18468761129_10154081784321130,Medics and police did not get the convention they prepared for.,The Most Overhyped Convention Ever | HuffPost News,video,https://www.facebook.com/HuffingtonPost/videos/10154081784321130/,2016-07-22 14:15:00,240,73,32,196,14,5,23,1,1
18468761129_10154082011636130,"Push your mid-morning banana to the side today, and try of these nine fruits instead.",3 Delicious Fruits You Probably Haven't Heard Of,link,http://huff.to/29ZESJm,2016-07-22 14:00:43,26,5,5,26,0,0,0,0,0
18468761129_10154081447866130,The RNC saw some pretty wild hats this year.,Republican Convention Goers Have A Knack For Crazy Hats I Huff...,video,https://www.facebook.com/HuffingtonPost/videos/10154081447866130/,2016-07-22 13:45:00,30,25,5,20,1,1,7,1,0
18468761129_10154081954871130,"DJ Khaled is talking with Jacques Morel Jr. about his new album, 'Major Key.' 🔑",HuffPost Black Voices,video,https://www.facebook.com/blackvoicesdotcom/videos/10154856960972565/,2016-07-22 13:36:58,188,15,0,172,9,1,1,0,5
18468761129_10154081941851130,"Celine Dion broke out a little bit of Cher and Michael Jackson, but pulled out all the stops when Rihanna  came up.",Celine Dion Takes Her Rihanna Impression To The Next Level,link,http://huff.to/2ah0noJ,2016-07-22 13:30:26,1213,71,326,936,121,4,150,1,1
18468761129_10154081863516130,"The funeral of Officer Matthew Gerald, one of the Baton Rouge Police Department officers killed on Sunday.",HuffPost Crime,video,https://www.facebook.com/HuffPostCrime/videos/1293516110680824/,2016-07-22 12:54:41,896,53,0,401,35,1,1,455,3
18468761129_10154081425711130,There's something extra special about a shelter dog. ❤️,The Dodo,video,https://www.facebook.com/thedodosite/videos/897571783710831/,2016-07-22 12:45:00,4804,51,0,3580,911,5,1,300,7
18468761129_10154081818891130,"After one of the best nights of his campaign, Donald J. Trump looks backward and starts attacking Ted Cruz as of the primaries aren't over.","Donald Trump: If Ted Cruz Endorses Me, I Won't Accept It",link,http://huff.to/2am4obb,2016-07-22 12:30:30,364,258,47,108,1,17,224,6,8
18468761129_10154081817936130,DEVELOPING...,"Munich Shopping Mall Shooting Manhunt Creates Fear, Frenzy In Germany",link,http://huff.to/2aiLeQH,2016-07-22 12:30:08,439,91,200,103,1,12,2,238,83
18468761129_10154081423741130,,HuffPost Lifestyle,link,http://huff.to/2akhIg1,2016-07-22 12:15:00,8251,696,1,6792,599,12,842,4,2
18468761129_10154081515421130,Their tweets are hard-hitting and shine a light on the devaluing of black lives.,A Cop Shot A Black Man For No Reason. 17 Tweets Remind Us Why It's Not Surprising,link,http://huff.to/2a63mOy,2016-07-22 11:30:27,3385,197,617,2042,10,36,4,605,688
18468761129_10154081380101130,He ran for the seat in 1990 and lost.,Former KKK Leader David Duke Running For Senate,link,http://huff.to/2aB2UWL,2016-07-22 10:45:36,2807,509,1294,516,5,420,148,116,1602
18468761129_10154081230846130,Ocean Alliance's SnotBot is revolutionizing the way we study and protect whales.,Meet The Snotbot | HuffPost Rise,video,https://www.facebook.com/HuffingtonPost/videos/10154081230846130/,2016-07-22 10:15:00,594,13,133,498,59,32,5,0,0
18468761129_10154081296261130,Don't believe a word this Donald J. Trump says about being there for the LGBTQ community.,"How Trump REALLY Feels About Queer People, Explained In One Sentence",link,http://huff.to/2alU6rl,2016-07-22 10:00:14,1923,232,1312,1339,12,28,71,40,434
18468761129_10154081138136130,,The WorldPost,video,https://www.facebook.com/theworldpost/videos/10154437571229903/,2016-07-22 09:15:00,287,22,0,236,30,2,0,19,0
18468761129_10154081132051130,"Oh how much we missed you, Jon Stewart.",HE'S BACK! Jon Stewart Returns With A Blunt Message For 'Conservatives',link,http://huff.to/29Tdozx,2016-07-22 09:00:36,48903,1080,11270,38913,8614,51,1280,12,33
18468761129_10154081055656130,,Elite Daily,video,https://www.facebook.com/EliteDaily/videos/1223872280997735/,2016-07-22 08:30:00,283,179,0,97,3,20,23,71,69
18468761129_10154081041176130,All kinds of magical.,Parents Create Enchanting 'Harry Potter' Nursery For Their Little Wizard,link,http://huff.to/2a5DzGk,2016-07-22 08:10:58,11704,1615,4832,9452,1797,436,16,4,0
18468761129_10154080325111130,"Republicans drop 150,000 balloons to celebrate the end of a bizarre, disastrous Republican National Convention.

Via RYOT",RNC Balloon Drop | HuffPost RYOT,video,https://www.facebook.com/HuffingtonPost/videos/10154080325111130/,2016-07-22 07:30:00,225,113,31,132,2,14,71,3,3
18468761129_10154080926296130,This lil Ghostbusters fan is such a star. ✨,This Girl Made An Awesome 'Ghostbusters' Costume And Is Our New Shero,link,http://huff.to/2aga97i,2016-07-22 07:00:44,665,17,84,583,75,0,7,0,0
18468761129_10154080705196130,Fun fact: Whales are really into a little jazz flute.,Flute-Playing Paddleboarder Gets A Whale Of A Surprise,link,http://huff.to/29WLVhO,2016-07-22 05:00:37,993,49,147,842,52,88,8,1,2
18468761129_10154080623266130,Grace Potter asked for a blow-up doll. 😂,20 Artists Reveal The Craziest Backstage Riders They've Ever Heard,link,http://huff.to/2ayCl4u,2016-07-22 04:00:05,38,5,12,37,1,0,0,0,0
18468761129_10154080558041130,"""You belittled me ... but you were completely ignorant of my struggles.""",Latino Student Shuts Down Dentist Who Questioned His Stanford Admission,link,http://huff.to/2aeIZkp,2016-07-22 03:00:17,8447,277,1759,7070,762,111,10,350,144
18468761129_10154080494736130,Donald J. Trump had a lot to say in his GOP convention speech. Not all of it was true.,Fact-Checking Donald Trump's Convention Speech,video,https://www.facebook.com/HuffingtonPost/videos/10154080494736130/,2016-07-22 01:57:50,7361,733,4584,5276,81,119,883,50,952
18468761129_10154080425666130,"""Teachers deserve respect and support, not inane insults.""",Dear Donald Trump Jr.: You Are Wrong About Teachers,link,http://huff.to/29QwAyn,2016-07-22 01:00:32,14231,935,6217,11343,635,138,35,89,1991
18468761129_10154080394696130,"Republican National Convention attendees showed their love for America and for Donald J. Trump through their dance moves, and it was painful.",The RNC Gets Groovy | HuffPost NowThis,video,https://www.facebook.com/HuffingtonPost/videos/10154080394696130/,2016-07-22 00:30:40,1732,562,412,704,13,33,884,24,74
18468761129_10154080342176130,"Congrats, Donald J. Trump!",Donald Trump Achieves Lifelong Dream Of Breaking A Record For Length,link,http://huff.to/2akW37n,2016-07-22 00:00:06,591,223,53,274,5,9,226,8,69
18468761129_10154080290616130,But don't expect Donald J. Trump's supporters to care.,"Donald Trump Promises Not To Lie, Right Before Lying A Bunch Of Times",link,http://huff.to/29XO80z,2016-07-21 23:30:19,17969,706,6390,12353,103,187,3513,210,1603
18468761129_10154080253261130,,HuffPost Politics,video,https://www.facebook.com/HuffPostPolitics/videos/10154142093347911/,2016-07-21 23:01:29,300,69,0,217,9,4,21,4,45
18468761129_10154080249886130,Why has genitalia come up so many times during this campaign?,Ted Cruz's Campaign Manager Says Christie 'Turned Over His Political Testicles',link,http://huff.to/29WM3xJ,2016-07-21 23:00:07,879,185,98,464,9,26,366,7,7
18468761129_10154080231181130,"That was skillful, Code Pink.",A Protester Somehow Managed To Disrupt Donald Trump's RNC Speech,link,http://huff.to/29PytyV,2016-07-21 22:45:02,2997,127,368,2467,259,20,238,1,12
18468761129_10154080182546130,"Bernie Sanders: ""Those who voted for me will not support Trump who has made bigotry and divisiveness the cornerstone of his campaign.""",Here's What Bernie Sanders Had To Say About Donald Trump's RNC Speech,link,http://huff.to/29XJXlo,2016-07-21 22:14:05,50609,1495,18654,46043,3915,77,111,361,103
18468761129_10154080127716130,"The officer told the woman that black people have ""violent tendencies.""",Video Shows Brutal Arrest Of Black Schoolteacher In Austin,link,http://huff.to/29XDKG9,2016-07-21 21:45:22,8583,841,6830,1769,13,398,18,1367,5018
18468761129_10154079967926130,Donald J. Trump will deliver his acceptance speech shortly. Be sure to play along with us!,Timeline Photos,photo,https://www.facebook.com/HuffingtonPost/photos/a.443444786129.234228.18468761129/10154079967926130/?type=3,2016-07-21 21:05:08,3830,313,1093,2214,125,6,1473,10,2
18468761129_10154079935816130,Peter Thiel just made history.,Peter Thiel Tells GOP Convention: 'I Am Proud To Be Gay',link,http://huff.to/2agOLPs,2016-07-21 20:45:12,2809,435,275,2365,179,127,45,16,77
18468761129_10154079880351130,Nothing surprises us anymore.,Trump's Campaign Chair Just Made A Sexist 1950s Argument For Why Women Will Support Him,link,http://huff.to/29ShaZN,2016-07-21 20:14:51,2775,330,1394,889,10,485,117,39,1235
18468761129_10154079807691130,It's time to make friends with your freezer and stop wasting so much food.,6 Easy Ways To Reduce Food Waste At Home,link,http://huff.to/29X3lix,2016-07-21 19:30:36,148,10,64,142,2,1,1,0,2
18468761129_10154079807251130,No need to watch Donald J. Trump later!,Read The Draft Text Of Donald Trump's 2016 Republican National Convention Speech,link,http://huff.to/29XtmOK,2016-07-21 19:30:22,481,327,133,256,4,6,149,6,60
18468761129_10154079747171130,Add these parks to your bucket list!,The 25 Best State Parks in America You Absolutely Must Visit,link,http://huff.to/29WZzp4,2016-07-21 19:00:31,1266,146,594,1191,66,9,0,0,0
18468761129_10154079674321130,"This puppy is frolicking in grass for the first time. 

via The Dodo",Puppy's First Frolic | The Dodo,video,https://www.facebook.com/HuffingtonPost/videos/10154079674321130/,2016-07-21 18:15:49,23643,557,6859,18956,4158,36,27,463,4
18468761129_10154079644916130,"I believe I am a modern day feminist,"" Qandeel Baloch wrote the day before she was murdered by her brother.",A Pakistani Social Media Star Was Killed For Owning Her Sexuality,link,http://huff.to/2aeVYCx,2016-07-21 18:00:22,2803,185,365,793,9,38,2,1223,739
18468761129_10154079424356130,,Elite Daily,video,https://www.facebook.com/EliteDaily/videos/1223069081078055/,2016-07-21 17:30:01,2647,39,0,2052,559,31,0,5,0
18468761129_10154079501696130,,HuffPost Politics,video,https://www.facebook.com/HuffPostPolitics/videos/10154141099737911/,2016-07-21 17:04:32,968,78,0,844,97,13,7,1,6
18468761129_10154079494076130,"""...I think Donald J. Trump is gonna win."" --Michael Moore",Here's Why Michael Moore Thinks Donald Trump Will Be The Next President,link,http://huff.to/2agbbAb,2016-07-21 17:00:46,2638,719,958,1356,25,135,51,644,427
18468761129_10154079431291130,Genius!,This Trick Will Change How You Eat Movie Theater Popcorn Forever,link,http://huff.to/29RES8D,2016-07-21 16:30:28,711,243,402,612,51,20,28,0,0
18468761129_10154079317871130,,HuffPost Good News,link,http://huff.to/2a8tBWK,2016-07-21 16:15:00,14469,99,0,12128,2239,25,77,0,0
18468761129_10154079363436130,Fox News chairman & CEO Roger Ailes resigned after allegations of sexual harassment from a former anchor at the network.,Roger Ailes has resigned as CEO & Chairman of FOX News | HuffP...,video,https://www.facebook.com/HuffingtonPost/videos/10154079363436130/,2016-07-21 15:54:18,829,86,166,640,41,25,108,4,11
18468761129_10154079307456130,Ding-dong! Ailes is gone!,Roger Ailes Stepping Down As Fox News CEO,link,http://huff.to/29X6AWY,2016-07-21 15:39:43,2241,345,290,1746,153,26,309,0,7
18468761129_10154079134686130,Everyone's loving Michelle Obama's appearance on James Corden's Carpool Karaoke.,Michelle Obama Slays James Corden's Carpool Karaoke,video,https://www.facebook.com/HuffingtonPost/videos/10154079134686130/,2016-07-21 15:16:36,24498,637,2410,20026,3613,58,771,8,22
18468761129_10154079102456130,"The NBA is not happy about North Carolina's ""bathroom bill"" that forces transgender people to use the bathroom that corresponds to the sex on their birth certificate.",Report: NBA Pulls All-Star Game Out Of Charlotte Over 'Bathroom Bill',link,http://huff.to/29X1gTN,2016-07-21 14:59:07,8413,290,702,7183,908,70,210,17,25
18468761129_10154079081026130,,HuffPost Weird News,video,https://www.facebook.com/HuffPostWeirdNews/videos/1054512327967987/,2016-07-21 14:47:11,129,14,0,126,0,0,3,0,0
18468761129_10154078976066130,Happy birthday to the late Robin Williams!,Timeline Photos,photo,https://www.facebook.com/HuffingtonPost/photos/a.443444786129.234228.18468761129/10154078976066130/?type=3,2016-07-21 14:15:09,29500,198,4702,25395,3050,9,32,1014,0
18468761129_10154078946321130,"From Cape Town to Lisbon, we've got you covered.",21 Places in the World You Must Visit at Least Once,link,http://huff.to/2afVVmM,2016-07-21 14:00:21,384,65,148,367,17,0,0,0,0
18468761129_10154078696061130,,HuffPost Lifestyle,video,https://www.facebook.com/HuffPostLifestyle/videos/10153815813276314/,2016-07-21 13:45:00,27797,678,0,21154,6184,138,20,300,1
18468761129_10154078828271130,"If your teenage years were tough, sleep deprivation may be to blame.",Teenage Sleep Deprivation Is Very Real | HuffPost Rise,video,https://www.facebook.com/HuffingtonPost/videos/10154078828271130/,2016-07-21 13:15:53,435,45,244,397,4,18,1,15,0
18468761129_10154078819281130,The GOP declared porn a public health crisis. So we asked GOP Convention goers if they watch porn.,Republicans In Cleveland Wonder Why The GOP Is Focusing On Porn,link,http://huff.to/2acKqOJ,2016-07-21 13:09:45,505,169,124,239,7,17,236,2,4
18468761129_10154078760071130,This Cleveland greenhouse is investing in its workers in a unique way.,Green City Growers Gives Staff Room To Grow | HuffPost Rise,video,https://www.facebook.com/HuffingtonPost/videos/10154078760071130/,2016-07-21 12:46:27,575,26,360,492,64,19,0,0,0
18468761129_10154078692871130,"Each WNBA team was fined $5,000 and its players were fined $500.",WNBA Fines Players For Shirts Honoring Recent Shooting Victims,link,http://huff.to/2afFOpi,2016-07-21 12:12:36,5725,478,2488,1378,58,661,30,292,3306
18468761129_10154078499556130,"""The invitation to our family says my parents and my brothers [not me].""",The Terrible Reason This Teen Wasn't Invited To Her Aunt's Wedding,link,http://pubx.co/m48J0y,2016-07-21 11:30:00,1186,506,139,227,3,43,1,250,662
18468761129_10154078535061130,Police shot an unarmed black man while he was lying down with his hands in the air.,Unarmed Black Man Shot | HuffPost NowThis,video,https://www.facebook.com/HuffingtonPost/videos/10154078535061130/,2016-07-21 11:15:58,10991,1080,5335,2976,12,290,8,2098,5607
18468761129_10154078511561130,,HuffPost Rise,video,https://www.facebook.com/HuffPostRise/videos/825879680844797/,2016-07-21 11:02:36,308,24,0,288,13,1,5,0,1
18468761129_10154078507681130,Who knew Michelle Obama was such a great singer/rapper?,"Michelle Obama Signs, Seals, Delivers 'Carpool Karaoke' With Missy Elliot",link,http://huff.to/2ae3k9L,2016-07-21 11:00:13,16771,443,5588,13606,2732,41,381,0,11
