status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5281959998_10150856035544999,"Bernie Sanders will speak tonight at the Democratic National Convention. Over the last 40 years, he has spoken with remarkable consistency about what he says is an economy rigged against the working class.",,video,https://www.facebook.com/nytimes/videos/10150856035544999/,2016-07-25 13:25:00,797,93,137,683,108,1,2,2,1
5281959998_10150856139024999,The leaked Democratic Party emails reveal the many ways that fund-raisers harvest millions of dollars from wealthy donors.,D.N.C. Emails Offer Glimpse at How Big Donors Are Wooed,link,http://nyti.ms/2a9kiUc,2016-07-25 13:02:48,124,65,30,100,1,3,6,3,11
5281959998_10150856092619999,"We asked New Yorkers how they keep their pups cool during the dog days of summer. Here are a few suggestions. http://nyti.ms/2acc1Py

Photos, clockwise from top: Kevin Hagen NYT; Lindsay Wilczynski; Ana do Amaral; Kevin Hagen for NYT",Photos from The New York Times's post,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10150856092429999/?type=3,2016-07-25 12:25:13,337,15,30,306,27,0,4,0,0
5281959998_10150854874404999,"""In America, Hillary Clinton has been part of the backdrop of our lives for nearly a quarter of a century. We're watching a very familiar face making a brand-new mark on history."" Read on in The New York Times Opinion Section.",Behind Hillary's Mask,link,http://nyti.ms/2a8mxaP,2016-07-25 12:10:00,274,95,40,240,15,2,15,0,2
5281959998_10150856082094999,"The single-cell, bacterium-like organism is known as Luca, the Last Universal Common Ancestor.","Meet Luca, the Ancestor of All Living Things",link,http://nyti.ms/2a0SqPU,2016-07-25 11:55:00,759,58,309,665,26,68,0,0,0
5281959998_10150856073644999,"A longtime friend of the Clintons, Terry McAuliffe talks with NYT reporter Alex Burns about Hillary Clinton.",Terry McAuliffe discusses Hillary Clinton,video,https://www.facebook.com/nytimes/videos/10150856073644999/,2016-07-25 11:35:27,627,476,66,549,37,5,3,1,32
5281959998_10150856063734999,"Affordable housing, gun violence, public education - so many of the country's biggest issues are set in big cities. Marty Walsh, the mayor of Boston, joins The Times's reporter Carl Hulse to talk about urban issues and how the presidential election will affect cities. Ask your questions in the comments.","Marty Walsh, the mayor of Boston, discusses Hillary Clinton",video,https://www.facebook.com/nytimes/videos/10150856063734999/,2016-07-25 11:19:29,417,112,66,391,17,6,0,1,2
5281959998_10150856041109999,"During the 1950s and '60s, Marni Nixon was the unseen — and usually uncredited — singing voice of the stars.","Marni Nixon, the Singing Voice Behind the Screen, Dies at 86",link,http://nyti.ms/2aoO9dR,2016-07-25 11:10:00,885,49,393,525,39,3,1,317,0
5281959998_10150856048554999,"Gov. John W. Hickenlooper of Colorado, one of the people that Hillary Clinton considered to be her vice president, joins NYT columnist Frank Bruni to talk about the presidential election and take your questions.",Gov. John Hickenlooper of Colorado discusses Hillary Clinton,video,https://www.facebook.com/nytimes/videos/10150856048554999/,2016-07-25 11:03:12,620,220,76,575,24,2,10,2,7
5281959998_10150856049719999,There has been debate inside Hillary Clinton's campaign about how much to focus on women.,Hillary Clinton's Team Seeks a Balance: Celebrating Women Without Alienating Men,link,http://nyti.ms/2aqyyqR,2016-07-25 10:55:27,223,112,13,193,6,4,10,0,10
5281959998_10150856035014999,"Dental X-rays have their place, but dentists tend to overuse them.",You Probably Don't Need Dental X-Rays Every Year,link,http://nyti.ms/2akZU1Q,2016-07-25 10:25:13,286,42,104,260,1,14,2,0,9
5281959998_10150855997929999,"The 27-year-old Syrian refugee who blew himself up at a music festival had received 2 deportation orders, most recently on July 13.",Syrian Who Blew Himself Up in Germany Had Been Twice Ordered Deported,link,http://nyti.ms/2aoCgnX,2016-07-25 09:33:36,405,155,233,220,0,26,0,68,91
5281959998_10150855953659999,"Dave Eggers ""nails single parenthood in all its crowded loneliness and moral angst."" (via The New York Times Books)",Dave Eggers's New Novel Follows a Family Into the Alaskan Wild,link,http://nyti.ms/2a4jvm0,2016-07-25 09:10:00,137,18,26,133,2,1,0,1,0
5281959998_10150855860129999,"Hillary Clinton is like a lot of other men and women who to this day cannot scan, iChat, use Spotify or hook up their Roku.","Hillary, Me and the Digital Divide",link,http://nyti.ms/29Z4BvW,2016-07-25 08:55:00,423,171,71,352,11,6,51,1,2
5281959998_10150855966674999,"Botticelli bottleneck? Florence's Uffizi Gallery  is the most visited museum in Italy, but it's not always easy to navigate. Ticket lines can be long and confusing. The museum's new director, Eike Schmidt, a German, tells Times reporter Rachel Donadio about how he's trying to ease the crunch at the Uffizi.",,video,https://www.facebook.com/nytimes/videos/10150855966674999/,2016-07-25 08:50:28,3079,570,595,2493,498,63,7,8,10
5281959998_10150855959979999,"We are live at Florence's Uffizi Gallery. This is Italy's most visited museum, but it is not always easy to navigate. Eike Schmidt, the museum's new director, tells us how he's trying to fix that. He is one of 20 new museum directors hired last year across Italy as part of a reform to internationalize Italy's top museums and give them more autonomy.",,video,https://www.facebook.com/nytimes/videos/10150855959979999/,2016-07-25 08:44:13,4114,816,1016,3378,647,61,20,3,5
5281959998_10150855829694999,"When mass killers show affinity for jihadists, they are labeled terrorists. But when their inspiration is right-wing extremism, they are often treated as disturbed loners.",Terrorist or Disturbed Loner? Munich Attack Reveals Shifting Labels,link,http://nyti.ms/2abjmPE,2016-07-25 08:25:00,1653,180,529,1369,4,15,7,61,197
5281959998_10150855898464999,"""Our big cities look and feel far safer than they did a generation ago, because they are."" Read on in The New York Times Opinion Section.",Delusions of Chaos,link,http://nyti.ms/29Zfca5,2016-07-25 07:55:00,3728,194,733,3493,74,16,12,110,23
5281959998_10150855852954999,"The International Olympic Committee president, who preached ""zero tolerance"" on doping, could've used his power to stand up to Russia, our columnist says. He missed his chance.",Russia Decision Muddies Legacy of I.O.C. President Thomas Bach,link,http://nyti.ms/2abnrDh,2016-07-25 07:25:01,120,24,7,84,1,4,5,3,23
5281959998_10150855872279999,Emails show that Debbie Wasserman Schultz stewed for weeks over what she saw as unfair coverage by MSNBC.,Ego Clashes Exposed in Leaked Emails From Democratic National Committee,link,http://nyti.ms/29Z7WLf,2016-07-25 06:55:00,362,172,49,298,4,9,16,8,27
5281959998_10150855864064999,"Breaking News: Verizon is buying Yahoo's core internet business in a $4.8 billion deal, ending a 22-year run for one of the web's pioneers.",Verizon Announces $4.8 Billion Deal for Yahoo's Internet Business,link,http://nyti.ms/29Z6pF4,2016-07-25 06:26:48,306,25,70,252,3,44,3,2,2
5281959998_10150855835694999,Debbie Wasserman Schultz's resignation has energized Bernie Sanders and his supporters.,"Party Leader's Resignation a Sign of Bernie Sanders's Influence, His Backers Say",link,http://nyti.ms/2ablnva,2016-07-25 06:25:00,1717,334,195,1509,127,13,51,3,14
5281959998_10150855816934999,Leaked emails threaten to undermine unity at the Democratic National Convention.,Democratic Convention: What to Watch For on Day 1,link,http://nyti.ms/2abeNEX,2016-07-25 05:55:00,409,239,63,314,13,7,39,23,13
5281959998_10150855830514999,Daily Briefing: Here's what you need to know today.,Your Monday Briefing,link,http://nyti.ms/2abkrXr,2016-07-25 05:30:00,88,17,6,88,0,0,0,0,0
5281959998_10150855834079999,"""Hell, no, DNC, we won't vote for Hillary,"" Bernie Sanders supporters chanted.",Bernie Sanders Backers March Against Hillary Clinton in Philadelphia,link,http://nyti.ms/2abl7MK,2016-07-25 05:25:00,3082,749,438,2204,267,39,79,65,427
5281959998_10150855819299999,A look at milestones in politics for women and minorities.,Hillary Clinton Broke One Glass Ceiling. When Were Others Broken?,link,http://nyti.ms/2abgsdm,2016-07-25 04:55:00,326,45,61,302,18,2,3,0,1
