status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
95926963131_10154639193568132,Van Houten has already been denied parole 19 times.,Charles Manson Follower Leslie Van Houten Denied Parole by California Gov. Jerry Brown,link,http://peoplem.ag/0f3uV1w,2016-07-22 23:40:52,148,9,12,137,5,1,6,0,0
95926963131_10154639105353132,Ivanka Trump is the first to acknowledge that her childhood was extremely privileged.,Ivanka Trump on Her Childhood and Being Protected by the Scandal of Her Parents' Split,link,http://peoplem.ag/kby4Mo9,2016-07-22 23:00:20,271,30,11,251,11,2,5,1,1
95926963131_10154639050383132,"For this couple, ""love is bigger than gender.""",Mormon Couple's Marriage Stronger than Ever After Transgender Transition,link,http://peoplem.ag/VSlymzu,2016-07-22 22:33:03,575,44,31,488,66,17,2,1,1
95926963131_10154639002628132,The teenage girl's father was reportedly treated at the scene for shock.,"14-Year-Old Killed By Lightning While Riding Watercraft in Utah, Stepmom in Critical Condition",link,http://peoplem.ag/sodoGNe,2016-07-22 22:02:22,769,26,60,280,2,82,0,404,1
95926963131_10154638959048132,Aimee Carrero is Disney's first ever Latina Princess!,Disney's First Latina Princess Aimee Carrero Takes Our Quiz,video,https://www.facebook.com/peoplemag/videos/10154638959048132/,2016-07-22 21:31:45,187,9,18,163,24,0,0,0,0
95926963131_10154638924598132,Life's a beach – especially for 94-year-old Tracy Dunne!,Teen Lifeguard Makes 94-Year-Old Woman's Beach Vacation Dreams Come True,link,http://peoplem.ag/b0R2Tdr,2016-07-22 21:09:38,1507,10,57,1350,148,8,1,0,0
95926963131_10154638809513132,The Rich Kids of Beverly Hills star is learning the hard way that less is more.,Rich Kids of Beverly Hills' Morgan Fitzpatrick Admits Regret After 'Insane' Plastic Surgery,link,http://peoplem.ag/oV9ixuy,2016-07-22 20:33:09,172,19,9,161,0,4,7,0,0
95926963131_10154638760188132,"Tim Kaine is officially saying, ""I'm with her.""",Hillary Clinton Announces Virginia Senator Tim Kaine as Running Mate,link,http://peoplem.ag/d7rfoyP,2016-07-22 20:02:07,1217,126,44,1020,109,8,63,3,15
95926963131_10154638725643132,Bindi Irwin's birthday plans? Trying Coca-Cola for the first time!,Bindi Irwin Says 18th Birthday Will Be 'Bittersweet' Without Her Father: 'It's Really a Tough Time',link,http://peoplem.ag/3OwaNRD,2016-07-22 19:41:30,2965,57,79,2441,179,15,2,327,1
95926963131_10154638643938132,Chauncy Jones has an incredible work ethic—and a new summer job! (via People Daily Smile),Memphis Teen Who Asked for Donuts and Ended Up With $340k Is Now Happily Mowing Lawns,link,http://peoplem.ag/b8ESd7Q,2016-07-22 19:01:30,5551,47,245,4747,748,54,2,0,0
