status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10606591490_10153860189806491,The shots show Kristen Bell and Dax Shepard reciting their vows and sharing a smooch.,Kristen Bell Shares Never-Before-Seen Wedding Photos With Dax Shepard,link,http://ti.me/2a6uIGS,2016-07-25 13:30:33,107,7,4,91,16,0,0,0,0
10606591490_10153860156206491,Watch DNC chair Debbie Wasserman Schultz get booed following the leaked email scandal. http://ti.me/2a6jHp6,DNC chair gets booed over leaked emails,video,https://www.facebook.com/time/videos/10153860156206491/,2016-07-25 13:15:54,102,25,21,75,11,2,10,2,2
10606591490_10153860125301491,"""Am I good enough?""",Jennifer Aniston Tears Up While Describing Moments of Self-Doubt,link,http://ti.me/29VgsiY,2016-07-25 13:00:57,129,12,13,122,3,1,0,3,0
10606591490_10153860069861491,Bernie supporters protesting at the DNC in Philadelphia say they'll never vote for Hillary,,video,https://www.facebook.com/time/videos/10153860069861491/,2016-07-25 12:34:00,1725,1141,190,1348,159,29,58,22,109
10606591490_10153860064926491,5. Ask for more money before taking a new job.,5 Essential Pieces of Career Advice,link,http://ti.me/2arTBfI,2016-07-25 12:30:29,102,2,26,101,1,0,0,0,0
10606591490_10153860014261491,From Adam Sandler to Melissa McCarthy and 50 Cent.,Watch 9 Celebrities Audition for the Role of Young Han Solo,link,http://ti.me/2arWeOg,2016-07-25 12:00:34,62,6,7,60,0,0,2,0,0
10606591490_10153859957201491,"Tom Hiddleston: ""It doesn't matter what anyone else says about it because the nature of being a public figure is that everyone will have an opinion.""",Taylor Swift's Boyfriend Tom Hiddleston Says It's All About Being 'Authentic',link,http://ti.me/2aoYsP0,2016-07-25 11:30:03,703,55,17,628,31,5,32,3,4
10606591490_10153859900006491,To tide you over during the Game of Thrones hiatus.,Watch Conan O'Brien Remove Melisandre's Necklace to Reveal His True Self,link,http://ti.me/29ZyegE,2016-07-25 11:00:39,267,17,16,217,1,0,49,0,0
10606591490_10153859841411491,"""It's nothing short of hypocritical to force our kids to figure out something to do that doesn't involve technology.""",A Parent's Worst Enemy: The Gnawing Boredom of Summer,link,http://ti.me/2akWJHN,2016-07-25 10:30:16,131,3,10,128,2,1,0,0,0
10606591490_10153859795396491,It pays to work in medicine.,Here's How Much Money Doctors Make,link,http://ti.me/2aoD0th,2016-07-25 10:00:12,151,29,34,135,1,6,1,0,8
10606591490_10153859741316491,Lessons for anyone who wants to wake up early.,'How I Became a Morning Person',link,http://ti.me/29UWPra,2016-07-25 09:30:11,434,20,102,422,9,2,1,0,0
10606591490_10153859680606491,Feeling stuck?,Why Most People Quit Their Jobs,link,http://ti.me/2abKaPK,2016-07-25 09:00:06,372,21,70,356,10,4,2,0,0
