status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
13652355666_10153692105960667,Rick Welts didn't feel comfortable attending the All-Star Game in Charlotte if the law remained as is.,How one NBA team exec influenced the ASG decision,link,http://www.usatoday.com/story/sports/nba/2016/07/22/golden-state-warriors-executive-influenced-nbas-2017-charlotte-all-star-game/87458518/,2016-07-22 23:18:00,303,28,4,294,4,1,4,0,0
13652355666_10153689361675667,"Since there are no legal recreational or medical marijuana stores, facilities or grows in the small town, it's not known how THC appeared in the water supply.",Officials: Colo. town's drinking water tainted with THC,link,http://www.usatoday.com/story/news/nation-now/2016/07/21/officials-colo-towns-drinking-water-tainted-thc/87419730/,2016-07-22 22:33:01,788,83,144,718,4,19,45,3,1
13652355666_10153689075295667,The order does not address whether the federal judge would refer Sheriff Joe and his aides for criminal contempt of court.,Judge strips Arpaio of some internal affairs oversight,link,http://www.usatoday.com/story/news/nation-now/2016/07/21/judge-strips-arpaio-internal-affairs-oversight/87412472/,2016-07-22 21:55:00,821,43,9,806,2,3,8,2,0
13652355666_10153691746530667,"Tim Kaine is the first to say he's boring. That doesn't sound bad after months of Hillary Clinton's emails and Donald Trump's bombast, writes the USA TODAY Opinion editorial board.",Tim Kaine is the right pick for veep: Our view,link,http://www.usatoday.com/story/opinion/2016/07/22/tim-kaine-hillary-clinton-vice-president-right-pick-our-view/87458426/,2016-07-22 21:15:00,1212,108,21,1177,19,2,4,1,9
13652355666_10153691738975667,"Tim Kaine is one of just 20 people to have served as a mayor, governor and U.S. senator.",6 things to know about Tim Kaine,link,http://www.usatoday.com/story/news/politics/onpolitics/2016/07/22/who-is-tim-kaine/87145838/,2016-07-22 20:50:00,1401,112,37,1348,27,5,16,1,4
13652355666_10153691761390667,"Tim Kaine is considered a safe pick, a swing-state moderate who appeals to independent voters.",Who is Tim Kaine? A closer look at the Virginia senator,link,http://www.usatoday.com/story/news/politics/elections/2016/2016/07/22/tim-kaine-hillary-clinton-running-mate/86982178/,2016-07-22 20:22:00,1611,221,76,1504,44,5,40,5,13
13652355666_10153691690390667,"While Hillary Clinton's vetting process included a range of options, Tim Kaine always had the best odds.",Clinton goes with her heart on Kaine VP pick,link,http://www.usatoday.com/story/news/politics/elections/2016/2016/07/22/clinton-goes-her-heart-kaine-vp-pick/87447416/,2016-07-22 19:56:07,1717,218,47,1599,53,1,36,2,26
13652355666_10153691690610667,"Hillary Clinton announced Virginia Sen. Tim Kaine as her pick for vice president, days ahead of the Democratic convention in Philadelphia. http://usat.ly/29RZb6r",Hillary Clinton announces Tim Kaine as running mate,video,https://www.facebook.com/usatoday/videos/10153691690610667/,2016-07-22 19:35:35,2902,326,353,2574,164,10,88,12,54
13652355666_10153691680935667,BREAKING: Hillary Clinton has announced Virginia Sen. Tim Kaine as her running mate. http://usat.ly/2a6NLPU,,status,,2016-07-22 19:24:54,873,64,18,831,24,3,10,2,5
13652355666_10153691611000667,Miss Teen USA drew praise last month for announcing the pageant would eliminate its swimsuit competition.,See what Miss Teen USA contestants will wear instead of bikinis,link,http://www.usatoday.com/story/life/entertainthis/2016/07/22/miss-teen-usa-contestants-fitnesswear-competition-apparel-tapout/87446676/,2016-07-22 19:10:00,901,28,12,889,10,1,1,0,0
13652355666_10153691625265667,"BREAKING: Munich shooter apparently killed himself and looks to have acted alone, according to reports. The latest: usat.ly/29SFThj","At least 9 dead in Munich shooting rampage, 1 may be attacker",link,http://usat.ly/29SFThj,2016-07-22 18:49:54,819,47,45,751,1,4,0,42,21
13652355666_10153690568750667,Who let the bulls out?,Two bulls escape Baltimore slaughterhouse,link,http://usat.ly/29RP8yo,2016-07-22 18:30:00,858,41,29,815,3,10,29,1,0
