status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
6250307292_10153981786927293,"From the start of the vice presidential selection process, Kaine has always been at or near the top of any list of potential contenders.",Why Hillary Clinton picked Tim Kaine for VP,link,http://wapo.st/2affWuc,2016-07-22 20:16:18,298,55,34,244,33,1,4,4,12
6250307292_10153981761272293,"""If Clinton has reached out to Bernie supporters, it appears that she has done so to stick triangulating thumbs in their eyes.""",Kaine's VP pick greeted by blowback from progressive groups,link,http://wapo.st/2agK6OW,2016-07-22 20:04:32,161,74,51,125,5,4,8,11,8
6250307292_10153981742762293,He hasn't always been a Hillary backer.,"10 things you should know about Tim Kaine, Hillary Clinton's new running mate",link,http://wapo.st/2a71OUD,2016-07-22 19:50:48,603,78,157,516,49,4,8,4,22
6250307292_10153981720537293,Hillary Clinton has chosen Sen. Timothy M. Kaine (Va.) as her vice presidential running mate.,Sen. Timothy M. Kaine of Virginia chosen as Hillary Clinton's VP,link,http://wapo.st/2ai9eXd,2016-07-22 19:38:45,1024,144,168,807,143,3,14,14,43
6250307292_10153981391422293,Obama pointedly took issue with suggestions from some Republicans that the United States was devolving into lawlessness and disorder.,"Obama blasts GOP vision of a violent and chaotic America, saying it doesn't 'jibe with the facts'",link,http://wapo.st/29ZsRj5,2016-07-22 19:00:00,653,100,65,592,43,0,5,1,12
6250307292_10153981421912293,The celebrity mogul set about — unprompted — to refute charges put forward by Cruz.,"In first day as nominee, Trump revives unsubstantiated accusation against Cruz's father",link,http://wapo.st/29R3eDW,2016-07-22 18:33:00,190,126,49,81,2,7,58,5,37
6250307292_10153981389262293,Ivanka Trump this week went where no advocate for a Republican presidential candidate has gone before.,Ivanka Trump spoke like a Democrat and Republicans absolutely loved it,link,http://wapo.st/29R2TB4,2016-07-22 18:00:00,2786,266,449,2066,81,29,596,2,13
6250307292_10153981427932293,The ruling dealt a major blow to one of the Democratic governor's biggest achievements.,Virginia court invalidates Gov. Terry McAuliffe's order restoring felon voting rights,link,http://wapo.st/29ZtSYb,2016-07-22 17:25:51,569,141,198,245,18,9,27,100,170
6250307292_10153981385682293,There's little sign Hillary Clinton is worried that he will turn off liberals. But he might.,3 reasons liberals will be frustrated if Clinton's pick for vice president is Tim Kaine,link,http://wapo.st/2ajt94J,2016-07-22 17:17:00,332,198,64,259,8,9,16,4,36
6250307292_10153981352337293,The case had alarmed pro-choice advocates.,Court overturns feticide conviction of Indiana woman who had self-induced abortion,link,http://wapo.st/2aBBHDE,2016-07-22 16:58:19,877,137,219,686,100,11,3,57,21
6250307292_10153981073412293,"Hillary Clinton holds a campaign rally in Tampa, Fla., amid speculation she may soon announce her vice-presidential running mate.",Clinton holds campaign event in Tampa,video,https://www.facebook.com/washingtonpost/videos/10153981073412293/,2016-07-22 16:46:44,4628,9042,437,2541,1301,32,65,39,650
6250307292_10153981205967293,The May 5 emails apparently showing party leaders conspiring against Sanders.,WikiLeaks: Democratic Party officials appear to discuss using Sanders's faith against him,link,http://wapo.st/2aBwKL1,2016-07-22 16:20:00,1684,335,1128,796,4,159,32,49,644
6250307292_10153981175627293,The release provides an embarrassing inside look at Democratic Party operations on the eve of the Democrats' national convention.,WikiLeaks releases thousands of documents about Clinton and internal deliberations,link,http://wapo.st/2a6EyGk,2016-07-22 16:00:10,1778,391,939,1199,34,76,169,29,271
6250307292_10153981146162293,"The Washington Post editorial board is ruling out endorsement of Donald Trump. Here's why.

via Washington Post Opinions, Outlook, and PostEverything",Donald Trump is a unique threat to American democracy,link,http://washingtonpost.com/opinions/donald-trump-is-a-unique-threat-to-american-democracy/2016/07/22/a6d823cc-4f4f-11e6-aa14-e0c1087f7583_story.html,2016-07-22 15:41:12,10528,983,4911,9261,751,112,97,61,247
6250307292_10153981091277293,"Wikileaks said this is the first in a new ""Hillary Leaks"" series.","Wikileaks posts nearly 20,000 hacked DNC emails online",link,http://wapo.st/2ag9Xqh,2016-07-22 15:16:28,1576,381,1173,1192,104,59,164,1,56
6250307292_10153981071782293,Authorities have placed a second police officer on leave as part of the investigation into the shooting.,Officials put second North Miami police officer on leave for 'conflicting statements' about shooting of unarmed man,link,http://wapo.st/2ajca2z,2016-07-22 15:07:29,973,524,534,578,7,27,6,88,267
6250307292_10153981046812293,This combination of temperature and humidity is so extreme that it's beyond levels the heat index is designed to measure.,"Two Middle East locations hit 129 degrees, hottest ever in Eastern Hemisphere, maybe the world",link,http://wapo.st/2a3uQSi,2016-07-22 14:54:03,2137,127,1619,1078,3,772,9,250,26
6250307292_10153980515232293,"""I think this was a horrible decision."" Read the telling analysis of five viral videos of police shootings by a panel of experts.",The Post asked experts to examine 5 viral videos of police shootings. Here's their analysis.,link,https://www.washingtonpost.com/national/the-post-asked-experts-to-examine-5-viral-videos-of-police-shootings-heres-their-analysis/2016/07/22/47a0a446-4df2-11e6-a422-83ab49ed5e6a_story.html?tid=sm_fb,2016-07-22 14:30:00,259,33,112,184,0,5,0,34,36
6250307292_10153980864567293,"From spouse to senator: The evolution of Hillary Clinton, the politician.",How Hillary Clinton's startling decision to run for Senate set her on a path no woman has walked,link,http://www.washingtonpost.com/sf/national/wp/2016/07/22/2016/07/22/from-spouse-to-senator/?tid=sm_fb,2016-07-22 14:02:00,439,118,30,378,44,2,13,0,2
6250307292_10153980846527293,"During post-convention remarks, Donald J. Trump focused his ire on Ted Cruz.",Donald Trump just gave another press conference for the ages,link,http://wapo.st/29Z6Jp2,2016-07-22 13:41:04,562,600,124,346,16,23,158,6,13
6250307292_10153980671827293,Does she sound more like Donald J. Trump or Hillary Clinton?,"Who, exactly, was Ivanka Trump endorsing?",link,http://wapo.st/2aBgtFI,2016-07-22 13:05:26,1610,273,206,1116,23,43,421,1,6
6250307292_10153980603957293,"A gunman carried out a shooting rampage Friday in a busy shopping area of Munich, killing at least nine people and wounding several others in an act of ""suspected terrorism"" before he committed suicide, police said early Saturday.",Alleged shooter in Munich spree who killed 9 was an 18-year-old German-Iranian from Munich,link,http://wapo.st/2a3aYyG,2016-07-22 12:40:38,355,115,224,136,0,6,2,151,60
