status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
8304333127_10154509085308128,"""The conspirators were ruthlessly efficient,"" said Assistant Attorney General Leslie R. Caldwell.",Justice Department Charges Three in $1 Billion Medicare Fraud Scheme in South Florida,link,http://on.wsj.com/2amzgbz,2016-07-22 15:45:34,32,2,9,27,0,0,2,0,3
8304333127_10154508938778128,"""In uniform, I get nasty, hateful looks—and out of uniform, some consider me a threat.""","As Tensions Grow Over Policing, Black Officers Are Caught in the Middle",link,http://on.wsj.com/2aBlC0H,2016-07-22 15:00:29,50,1,7,37,0,0,0,13,0
8304333127_10154508931808128,It's been a lousy year to be an airline.,Airlines' Year Turns Sour,link,http://on.wsj.com/2aejmxs,2016-07-22 14:58:04,13,4,1,11,0,0,0,2,0
8304333127_10154508810183128,A feeling of deprivation may lead investors to form unrealistic expectations about the returns they are likely to earn on income-oriented investments that are rife with risk.,"Investors: Do the Hard Thing, Don't Do the Easy Thing",link,http://on.wsj.com/29ZtSvr,2016-07-22 14:31:06,24,0,5,24,0,0,0,0,0
8304333127_10154508648873128,"""Our police are on their last legs. The constant terrorist threat which has been hanging over us for years has our interior security forces mobilized every day.""",Attack in Nice Exposes Strains in Policing a Constant Threat,link,http://on.wsj.com/2a666M2,2016-07-22 13:00:13,31,6,9,25,0,1,0,3,2
8304333127_10154508605498128,Munich police said multiple people were left dead or injured after at least one shooting in the city.,Munich Shooting 'Rampage' Leaves at Least Eight Dead,link,http://on.wsj.com/2ahgAKB,2016-07-22 12:56:30,329,66,118,152,1,7,0,97,72
8304333127_10154508562973128,"Donald Trump is now roiling the quiet world of contract bridge—where trump suits, which carry more weight than others in a given hand, are an integral part of play.","At Bridge Tables, 'No Trump!' Takes On a Whole New Meaning",link,http://on.wsj.com/29YY9GQ,2016-07-22 12:50:05,40,11,9,34,0,0,6,0,0
8304333127_10154508467438128,"There isn't a bubble yet, but the Japanese game maker must do a lot of things right to meet rising expectations.",Why Nintendo Is No Pokémon Bubble,link,http://on.wsj.com/2am5y6k,2016-07-22 12:10:04,50,6,5,48,0,1,1,0,0
8304333127_10154508388288128,Are your retirement savings sufficient? Why online calculators provide answers that vary.,Rough Guides to the Golden Years: Retirement Calculators,link,http://on.wsj.com/2aegJvD,2016-07-22 11:40:03,26,9,3,26,0,0,0,0,0
8304333127_10154508318653128,"There are dangerous signs that the U.S. is turning its back on the principles of a free and open society that fostered the nation's rise, writes Charles Koch in WSJ Opinion",The Closing of the American Mind,link,http://on.wsj.com/2aedJze,2016-07-22 11:10:07,500,54,169,447,10,4,1,34,4
