status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
338028696036_10154484109001037,"""Some of the women that are complaining, I know how much he's helped them..."" — Donald J. Trump on Fox News' Ailes.","Trump speaks out, defends ousted Fox News CEO Roger Ailes amid sexual harassment claims",link,https://gma.yahoo.com/trump-speaks-defends-former-fox-news-ceo-ailes-120804501--abc-news-topstories.html#,2016-07-25 13:40:00,43,30,13,20,1,4,5,1,12
338028696036_10154484813086037,"Live from the DNC — we're talking email leaks, the FBI investigation, and Russia's possible involvement with legendary Dem lobbyist  Ben Barnes",Yahoo News,video,https://www.facebook.com/yahoonews/videos/10154484813086037/,2016-07-25 13:29:13,472,746,59,364,22,12,10,2,62
338028696036_10154484730681037,Jordan's making his voice heard.,Yahoo Sports,link,http://yhoo.it/29ZPPVz,2016-07-25 13:15:01,293,26,0,255,31,2,0,5,1
338028696036_10154484369866037,It's just 10 percent contained.,"Evacuation of 10,000 homes underway as LA county fire explodes to 33,000 acres",link,https://www.yahoo.com/news/california-fire-drives-people-10-150409950.html?soc_src=mail&soc_trk=ma,2016-07-25 12:50:00,157,11,63,79,0,24,4,48,2
338028696036_10154484401971037,"""We'll put you in your neighborhood and we will help you resolve some of the problems you're protesting about.""",Job applications for Dallas police have tripled since Chief encouraged protesters to apply,link,https://www.yahoo.com/news/surprise-dallas-police-applications-surge-shootings-151034714.html,2016-07-25 12:25:00,453,28,57,406,35,3,8,0,1
338028696036_10154484444766037,"""This is really scary.""",EXCLUSIVE: Hacked DNC emails point to Russians — and wider penetration,link,https://www.yahoo.com/news/exclusive-hacked-emails-of-dnc-oppo-researcher-point-to-russians-and-wider-penetration-154121061.html,2016-07-25 12:00:00,569,358,335,382,5,84,30,3,65
338028696036_10154484229276037,Nintendo has less to do with Pokémon Go than people thought.,Nintendo plunges the most since 1990 as investors discover 'Pokémon Go' financial benefits 'limited',link,http://finance.yahoo.com/news/nintendo-slumps-most-since-1990-001733382.html,2016-07-25 11:35:00,118,30,27,87,2,5,22,2,0
338028696036_10154484348701037,"A major, major win for Bernie Sanders and his supporters.",Superdelegate compromise wins near-unanimous support at DNC rules meeting,link,https://www.yahoo.com/news/effort-abolish-superdelegates-fails-dnc-rules-meeting-205652661--election.html,2016-07-25 11:10:00,2250,194,293,1990,213,12,32,1,2
338028696036_10154484257711037,"""The new joke in town is that Russia leaked the disastrous DNC e-mails, which should have never been written (stupid), because Putin likes me.""",Trump taunts claims that Russia hacked DNC emails for him,link,https://www.yahoo.com/news/trump-taunts-claims-russia-hacked-131740814.html,2016-07-25 10:50:00,286,217,43,176,5,8,86,4,7
338028696036_10154484276476037,"""You will see me every day between now and Nov. 8 on the campaign trail,"" she said, to even more boos.",Ousted DNC chair Wasserman Schultz booed during raucous breakfast meeting,link,http://yhoo.it/2abRiLY,2016-07-25 10:20:00,758,307,137,441,11,12,197,0,97
